epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.97574031,5.67187594,0.54834541,0,0,0,0,0.54753835,0.01650769,0
2,0.000299704,0,5.8828557,5.63356213,0.43155467,0,0,0,0,0.47193948,0.01228194,0
3,0.000298817,0,5.82316952,5.6065865,0.34274329,0,0,0,0,0.44871701,0.01053866,0
4,0.000297343,0,5.65704419,5.46605918,0.27038705,0,0,0,0,0.43390506,0.009284,0
5,0.000295287,0,5.50799637,5.33854186,0.20978799,0,0,0,0,0.42100368,0.00844806,0
6,0.000292658,1,5.40426222,5.23627557,0.16345661,0,0.14885756,0.14814481,0.00356375,0.41153752,0.00786332,0
7,0.000289466,1,5.28372386,5.12738654,0.12795174,0,0.15687061,0.15595166,0.00459475,0.40477369,0.00714223,0
8,0.000285724,1,5.22950686,5.08285529,0.10181028,0,0.15992966,0.15889624,0.00516712,0.39637569,0.00681082,0
9,0.000281446,1,5.16736881,5.02850804,0.07997143,0,0.15776655,0.15662589,0.00570328,0.39250413,0.00644447,0
10,0.000276649,1,5.09868933,4.96670017,0.06415557,0,0.15598779,0.15473299,0.00627402,0.38494896,0.00604314,0
11,0.000271353,1,5.05507045,4.92728812,0.05277336,0,0.15757618,0.15618586,0.00695159,0.38124714,0.00587274,0
12,0.000265577,1,5.00137776,4.87834993,0.04275863,0,0.15582149,0.15430085,0.00760318,0.37508935,0.00563805,0
13,0.000259345,1,4.95747943,4.8368716,0.03623589,0,0.15851359,0.15686633,0.0082363,0.37230512,0.00539607,0
14,0.000252682,1,4.91980338,4.80220054,0.03010288,0,0.1592001,0.15742005,0.00890025,0.36763238,0.0049591,0
15,0.000245614,1,4.88732042,4.77190306,0.02527633,0,0.15683162,0.15499004,0.00920792,0.36567537,0.00488296,0
16,0.000238168,1,4.87489961,4.76109501,0.02196594,0,0.15997576,0.15799464,0.00990556,0.36197311,0.00482641,0
17,0.000230374,1,4.85106471,4.73859919,0.01922706,0,0.16039422,0.15830352,0.01045351,0.35978695,0.0047414,0
18,0.000222263,1,4.82254483,4.71142207,0.01665904,0,0.16349261,0.16129662,0.01097998,0.35637213,0.00455185,0
19,0.000213867,1,4.79037667,4.68085101,0.01464619,0,0.16084574,0.15853323,0.01156254,0.35365466,0.00422378,0
20,0.000205219,1,4.7795139,4.6705816,0.01290991,0,0.16275546,0.16036176,0.01196851,0.35248692,0.00441366,0
21,0.000196353,1,4.74428388,4.63639608,0.01126879,0,0.16413177,0.1616883,0.01221738,0.34996531,0.00401792,0
22,0.000187303,1,4.73204238,4.62507612,0.01031316,0,0.16457863,0.1620548,0.01261916,0.34732165,0.00389388,0
23,0.000178107,1,4.71233456,4.60627108,0.00919722,0,0.16488133,0.16229659,0.01292373,0.3450425,0.00370403,0
24,0.0001688,1,4.70830419,4.60292366,0.00860415,0,0.16621538,0.16351634,0.01349518,0.34245215,0.00376465,0
25,0.000159419,1,4.69970277,4.59485616,0.00780696,0,0.16781237,0.1650477,0.01382334,0.34064406,0.00374854,0
26,0.00015,1,4.67655578,4.5722631,0.00697049,0,0.1687204,0.16591156,0.01404422,0.33914273,0.00362531,0
27,0.000140581,1,4.65537554,4.55181222,0.00655886,0,0.16705652,0.16416741,0.01444556,0.33744821,0.00351968,0
28,0.0001312,1,4.63678795,4.533678,0.00596565,0,0.17065048,0.16772192,0.0146428,0.33496289,0.00343001,0
29,0.000121893,1,4.63853127,4.53572721,0.00552598,0,0.17056544,0.16758354,0.01490949,0.33436103,0.00332987,0
30,0.000112697,1,4.62252251,4.52031654,0.00507826,0,0.1712665,0.16825995,0.01503276,0.33227578,0.00324588,0
31,0.000103647,1,4.60560437,4.50394595,0.00486647,0,0.17208734,0.16901843,0.01534458,0.33005536,0.00317262,0
32,9.478131709729836e-05,1,4.61119795,4.50940384,0.00457285,0,0.17467114,0.1715213,0.01574921,0.32990598,0.00319073,0
