epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.89551726,5.56554533,0.5043216,0.26129546,0,0,0,0.6039962,0.01031251,0
2,0.000299704,0,5.85616666,5.58059756,0.38904524,0.24509991,0,0,0,0.53281086,0.00761876,0
3,0.000298817,0,5.76934292,5.52939777,0.30366019,0.23124498,0,0,0,0.49880397,0.00681058,0
4,0.000297343,0,5.64683932,5.43557417,0.23256535,0.2178256,0,0,0,0.4753113,0.00590143,0
5,0.000295287,0,5.51375896,5.32612708,0.17628211,0.20375666,0,0,0,0.45421081,0.00545941,0
6,0.000292658,1,5.39525913,5.19833456,0.13383584,0.19203121,0.22455494,0.22224871,0.01153114,0.44326982,0.00490396,0.01781068
7,0.000289466,1,5.31429099,5.12823755,0.10422408,0.18394987,0.22631915,0.22402321,0.01147968,0.43769466,0.00482736,0.01805762
8,0.000285724,1,5.22040209,5.04525453,0.08073255,0.17280461,0.21959124,0.21732807,0.01131586,0.42916023,0.00449911,0.01861636
9,0.000281446,1,5.12903014,4.96245212,0.06343597,0.1623321,0.21231246,0.21006277,0.01124844,0.4225598,0.00431238,0.01898002
10,0.000276649,1,5.09412371,4.93364197,0.05129215,0.15535217,0.20750578,0.2052097,0.01148041,0.41689964,0.00438094,0.01963131
11,0.000271353,1,5.05044589,4.89475076,0.04154465,0.14732642,0.20780464,0.2054607,0.01171969,0.41236759,0.00423825,0.01995527
12,0.000265577,1,4.9691975,4.81778135,0.03443722,0.14037112,0.20270406,0.20032671,0.01188675,0.40836003,0.00382016,0.02057194
13,0.000259345,1,4.9388438,4.7911731,0.02852094,0.1333588,0.20203588,0.19960072,0.0121758,0.40295209,0.00373882,0.02138043
14,0.000252682,1,4.89263115,4.74925069,0.02358974,0.12411586,0.19654623,0.19412868,0.01208775,0.39745695,0.00337657,0.02183314
