epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.73204051,5.57506913,0.46972028,0.16055276,0,0,0,0,0,0
2,0.000299704,0,5.71973304,5.5940749,0.3685952,0.1507961,0,0,0,0,0,0
3,0.000298817,0,5.64136625,5.53838914,0.29500007,0.1447708,0,0,0,0,0,0
4,0.000297343,0,5.53182178,5.44811369,0.23354123,0.13645721,0,0,0,0,0,0
5,0.000295287,0,5.40944931,5.34183658,0.18251678,0.12857675,0,0,0,0,0,0
6,0.000292658,1,5.28732309,5.21400765,0.14381947,0.12253415,0.17916171,0.17708198,0.01039863,0,0,0
7,0.000289466,1,5.20264883,5.13745055,0.11705203,0.11913715,0.18168981,0.17951028,0.01089766,0,0,0
8,0.000285724,1,5.11787598,5.06048968,0.09376974,0.11281955,0.17973383,0.17750198,0.01115927,0,0,0
9,0.000281446,1,5.02932903,4.97792984,0.07743669,0.10870487,0.17297702,0.17068027,0.01148373,0,0,0
10,0.000276649,1,4.99662638,4.94961962,0.06492942,0.10389903,0.17138017,0.16895596,0.01212104,0,0,0
11,0.000271353,1,4.95412872,4.91023933,0.05551148,0.10007525,0.17228425,0.16974095,0.01271654,0,0,0
12,0.000265577,1,4.86927437,4.82887077,0.04700554,0.09515819,0.1678608,0.165215,0.01322896,0,0,0
13,0.000259345,1,4.84562544,4.80744452,0.04054465,0.09130052,0.16887457,0.16616073,0.01356923,0,0,0
14,0.000252682,1,4.80124177,4.76526398,0.03546468,0.08725683,0.16612717,0.16336236,0.01382408,0,0,0
15,0.000245614,1,4.7662555,4.73147338,0.03235892,0.0859444,0.16480029,0.16188405,0.01458123,0,0,0
16,0.000238168,1,4.74578777,4.7126707,0.02846838,0.08181398,0.16395163,0.16099018,0.01480727,0,0,0
17,0.000230374,1,4.70872497,4.67684478,0.02535393,0.07772724,0.16501308,0.1619662,0.01523437,0,0,0
18,0.000222263,1,4.68413261,4.65297403,0.02323844,0.07627089,0.16559978,0.16246894,0.01565423,0,0,0
19,0.000213867,1,4.65742876,4.62736871,0.02132956,0.07358437,0.163028,0.1597987,0.0161465,0,0,0
20,0.000205219,1,4.65419921,4.62488002,0.01947407,0.07095616,0.16381342,0.16054635,0.01633537,0,0,0
21,0.000196353,1,4.61724417,4.58834418,0.01857481,0.07076264,0.16251282,0.15910234,0.01705238,0,0,0
22,0.000187303,1,4.60041209,4.57220262,0.01704318,0.06753399,0.16343121,0.16001559,0.01707811,0,0,0
23,0.000178107,1,4.57930351,4.55169791,0.01564809,0.06569919,0.16341237,0.15994024,0.01736069,0,0,0
24,0.0001688,1,4.56601087,4.53863949,0.01517316,0.0651408,0.1630532,0.15950954,0.01771829,0,0,0
25,0.000159419,1,4.56029087,4.53337767,0.01378737,0.06309546,0.16467448,0.16107922,0.01797633,0,0,0
26,0.00015,1,4.54012874,4.5135763,0.01310986,0.06178691,0.16440784,0.16080139,0.01803224,0,0,0
27,0.000140581,1,4.52540831,4.49914916,0.0122926,0.06015393,0.16555974,0.16189509,0.01832329,0,0,0
28,0.0001312,1,4.51717528,4.4911142,0.01182711,0.05968617,0.16544362,0.16170603,0.01868795,0,0,0
29,0.000121893,1,4.50116319,4.47549736,0.0110836,0.05812092,0.16528666,0.16156486,0.01860898,0,0,0
30,0.000112697,1,4.48450966,4.45934183,0.01036372,0.05593461,0.16465251,0.16088546,0.01883524,0,0,0
31,0.000103647,1,4.48363607,4.45861136,0.0101089,0.05586506,0.16405542,0.16024915,0.01903135,0,0,0
32,9.478131709729836e-05,1,4.46561379,4.44075459,0.00968814,0.05486521,0.16466241,0.16080537,0.01928523,0,0,0
33,8.61331062652391e-05,1,4.46136434,4.43662707,0.00907989,0.05316646,0.1669662,0.16312055,0.01922826,0,0,0
34,7.773694888474269e-05,1,4.44694088,4.42225959,0.0087827,0.05276436,0.1677001,0.16382275,0.01938674,0,0,0
35,6.962598075315047e-05,1,4.43512998,4.41061484,0.0084433,0.05191174,0.16790982,0.16394909,0.01980368,0,0,0
36,6.183221215612905e-05,1,4.43373489,4.40932477,0.00808724,0.05093725,0.16890241,0.16494579,0.01978312,0,0,0
37,5.438640153769654e-05,1,4.42209291,4.39794124,0.00798492,0.05121715,0.16634452,0.16234709,0.01998717,0,0,0
38,4.73179341106967e-05,1,4.41567361,4.39158894,0.0075222,0.05009145,0.16818873,0.16419755,0.01995592,0,0,0
39,4.0654705886788306e-05,1,4.41601811,4.39212682,0.00727992,0.04948137,0.16759188,0.16356892,0.02011477,0,0,0
40,3.4423013583631635e-05,1,4.40440397,4.3805158,0.00715502,0.04894381,0.16847301,0.16442158,0.02025715,0,0,0
