epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.68049894,5.53478283,0.48572035,0,0,0,0,0,0,0
2,0.000299704,0,5.69668201,5.58248559,0.38065463,0,0,0,0,0,0,0
3,0.000298817,0,5.6860524,5.59544754,0.30201621,0,0,0,0,0,0,0
4,0.000297343,0,5.52502339,5.45381186,0.2373717,0,0,0,0,0,0,0
5,0.000295287,0,5.3753935,5.31882767,0.18855273,0,0,0,0,0,0,0
6,0.000292658,1,5.31238451,5.25479618,0.14676839,0,0.13557807,0.13481372,0.00382176,0,0,0
7,0.000289466,1,5.19816875,5.14812996,0.11851858,0,0.14483213,0.14377212,0.00530003,0,0,0
8,0.000285724,1,5.12165113,5.07824762,0.09620009,0,0.14543449,0.14421436,0.00610064,0,0,0
9,0.000281446,1,5.04762622,5.00973399,0.07872797,0,0.14273809,0.14140311,0.00667494,0,0,0
10,0.000276649,1,4.9836281,4.94945606,0.06680088,0,0.14131779,0.1398031,0.00757348,0,0,0
11,0.000271353,1,4.94154364,4.91022306,0.05689416,0,0.1425231,0.14083428,0.00844412,0,0,0
12,0.000265577,1,4.8952567,4.86633899,0.04936527,0,0.14108138,0.13924629,0.00917548,0,0,0
13,0.000259345,1,4.84124371,4.81394716,0.04302878,0,0.14387939,0.14187521,0.01002092,0,0,0
14,0.000252682,1,4.80905767,4.78319476,0.03862025,0,0.14276811,0.14058926,0.01089425,0,0,0
15,0.000245614,1,4.779636,4.7547574,0.03482563,0,0.14430915,0.1419638,0.01172673,0,0,0
16,0.000238168,1,4.74776641,4.7235919,0.03188915,0,0.14607774,0.14356695,0.01255395,0,0,0
17,0.000230374,1,4.71501775,4.69188153,0.02859517,0,0.14557655,0.14293878,0.01318884,0,0,0
18,0.000222263,1,4.69351958,4.67103966,0.02588355,0,0.14714883,0.144379,0.01384913,0,0,0
19,0.000213867,1,4.66128264,4.63917814,0.02471866,0,0.14688901,0.14394107,0.01473969,0,0,0
20,0.000205219,1,4.62959578,4.6081184,0.02231411,0,0.14783205,0.14479176,0.01520147,0,0,0
21,0.000196353,1,4.6288692,4.6076429,0.02063667,0,0.15035306,0.1471985,0.01577282,0,0,0
22,0.000187303,1,4.60169891,4.58087502,0.01915869,0,0.15076304,0.14753076,0.01616137,0,0,0
23,0.000178107,1,4.58932159,4.56856222,0.01825616,0,0.15282507,0.14942305,0.01701006,0,0,0
24,0.0001688,1,4.57107461,4.55058765,0.01697495,0,0.15394477,0.15049252,0.01726123,0,0,0
25,0.000159419,1,4.55731561,4.53679954,0.01663278,0,0.1552623,0.1516677,0.01797301,0,0,0
26,0.00015,1,4.53901274,4.51886214,0.01559702,0,0.15471456,0.15100919,0.01852687,0,0,0
27,0.000140581,1,4.53112445,4.51076985,0.01534023,0,0.15752554,0.15370605,0.01909749,0,0,0
28,0.0001312,1,4.51308247,4.49321731,0.0140095,0,0.15662342,0.15275682,0.01933299,0,0,0
29,0.000121893,1,4.50703678,4.48705605,0.01354552,0,0.1591704,0.15523777,0.01966317,0,0,0
30,0.000112697,1,4.49298906,4.47312494,0.01295351,0,0.15978088,0.15577815,0.02001364,0,0,0
31,0.000103647,1,4.48498907,4.46516905,0.01229063,0,0.16132834,0.15723899,0.02044676,0,0,0
32,9.478131709729836e-05,1,4.47741319,4.45744956,0.01223736,0,0.16292427,0.15871302,0.02105622,0,0,0
33,8.61331062652391e-05,1,4.46583783,4.44596643,0.01157198,0,0.16399793,0.15972316,0.02137382,0,0,0
34,7.773694888474269e-05,1,4.45666197,4.436598,0.01147517,0,0.16621386,0.16185172,0.02181066,0,0,0
35,6.962598075315047e-05,1,4.44330902,4.42342641,0.01104145,0,0.16570207,0.16126034,0.02220865,0,0,0
36,6.183221215612905e-05,1,4.44380776,4.42379767,0.0107694,0,0.16779278,0.1632781,0.02257341,0,0,0
37,5.438640153769654e-05,1,4.43352462,4.41371272,0.00990548,0,0.16840279,0.1638816,0.02260594,0,0,0
38,4.73179341106967e-05,1,4.43008182,4.41036177,0.00977887,0,0.16786361,0.16327385,0.02294879,0,0,0
39,4.0654705886788306e-05,1,4.41607339,4.3962939,0.00949673,0,0.16930484,0.16461768,0.02343578,0,0,0
40,3.4423013583631635e-05,1,4.40906541,4.38927115,0.0097501,0,0.16869208,0.16392972,0.02381181,0,0,0
41,2.86474508437579e-05,1,4.40088481,4.38087428,0.00895204,0,0.17324913,0.16845422,0.02397456,0,0,0
