epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.22231,1.18773,3.11237,1.49724,0.00112,0.5,0.00167,0.0005,2.78016,4.63188,2.94374,0.0002,0.0002,0.0802
2,3.73722,1.20256,2.33854,1.47287,0.01244,0.54091,0.0775,0.04627,1.26396,3.44501,1.69826,0.0004099,0.0004099,0.0594099
3,5.17949,1.16195,1.8628,1.42792,0.65074,0.40016,0.49388,0.37954,1.21596,2.67594,1.67294,0.000619394,0.000619394,0.0386194
4,6.58249,1.12758,1.56811,1.39376,0.48386,0.42964,0.41741,0.17212,1.64201,2.70877,2.21255,0.000828177,0.000828177,0.0178282
5,7.94499,1.16974,1.53679,1.43781,0.53098,0.56021,0.45434,0.28903,1.24366,2.11562,1.65157,0.000996097,0.000996097,0.000996097
6,9.31017,1.10187,1.43375,1.35826,0.63821,0.54371,0.58089,0.38079,1.23895,1.63379,1.66561,0.000993906,0.000993906,0.000993906
7,10.7528,1.07942,1.36987,1.35633,0.56693,0.63719,0.62368,0.37747,1.39029,1.71715,1.73125,0.000991232,0.000991232,0.000991232
8,12.1727,1.0772,1.28048,1.35432,0.71037,0.57431,0.64059,0.42182,1.30576,1.6122,1.73272,0.000988079,0.000988079,0.000988079
9,13.5387,1.08153,1.32591,1.33684,0.67913,0.73179,0.73267,0.51766,1.14275,1.29141,1.53176,0.000984449,0.000984449,0.000984449
10,14.8991,1.02295,1.18584,1.30438,0.61282,0.74484,0.71416,0.48321,1.16527,1.66236,1.59472,0.000980345,0.000980345,0.000980345
11,16.236,1.06668,1.23056,1.34869,0.64574,0.56206,0.58649,0.41338,1.15891,1.6675,1.56722,0.000975773,0.000975773,0.000975773
12,17.6181,0.99284,1.12336,1.28985,0.75537,0.72994,0.75903,0.52762,1.18133,1.28528,1.57151,0.000970736,0.000970736,0.000970736
13,19.0494,1.00628,1.10234,1.28301,0.66555,0.74725,0.7683,0.54857,1.11382,1.28642,1.45213,0.000965239,0.000965239,0.000965239
14,20.4057,1.0001,1.09994,1.27494,0.67831,0.71887,0.71832,0.54506,1.09659,1.08642,1.44653,0.000959289,0.000959289,0.000959289
15,21.7899,0.99828,1.07931,1.30234,0.83029,0.76847,0.80797,0.59904,1.03078,1.03889,1.36535,0.000952889,0.000952889,0.000952889
16,23.1518,0.95197,1.02468,1.27414,0.71789,0.65299,0.67018,0.52298,1.09616,1.5409,1.46624,0.000946048,0.000946048,0.000946048
17,24.5293,0.99155,1.04461,1.26789,0.71827,0.76085,0.75752,0.59852,1.00262,1.08698,1.39304,0.000938772,0.000938772,0.000938772
