epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19265,1.23078,2.95279,1.52159,0.00219,0.55559,0.06055,0.0236,2.41685,3.80042,3.04324,0.0002,0.0002,0.0802
2,3.51289,1.25668,2.11999,1.51061,0.0003,0.12794,0.02997,0.00718,2.89844,4.21318,2.90385,0.0004099,0.0004099,0.0594099
3,4.78612,1.18524,1.6791,1.42762,0.63439,0.11978,0.16175,0.09798,1.96675,3.1354,2.18625,0.000619394,0.000619394,0.0386194
4,6.06381,1.17443,1.53762,1.41639,0.4308,0.5872,0.48275,0.31137,1.28884,2.78578,1.77676,0.000828177,0.000828177,0.0178282
5,7.26099,1.1573,1.48698,1.42734,0.61466,0.50221,0.58926,0.33426,1.27532,2.17406,1.66926,0.000996097,0.000996097,0.000996097
6,8.46453,1.09876,1.3762,1.36656,0.58052,0.54176,0.49464,0.34561,1.31575,2.35696,1.72131,0.000993906,0.000993906,0.000993906
7,9.71715,1.10007,1.36884,1.35547,0.59666,0.70029,0.69071,0.47829,1.05305,1.92022,1.5324,0.000991232,0.000991232,0.000991232
8,10.9397,1.03683,1.25334,1.32205,0.65023,0.77162,0.76116,0.56089,0.96153,1.21495,1.39615,0.000988079,0.000988079,0.000988079
9,12.1051,1.07869,1.23193,1.31997,0.80381,0.65939,0.69164,0.50256,1.12812,1.31239,1.46157,0.000984449,0.000984449,0.000984449
10,13.2927,0.99987,1.13385,1.27951,0.67587,0.68127,0.69346,0.48197,1.11138,1.4702,1.49071,0.000980345,0.000980345,0.000980345
11,14.4758,1.05207,1.16986,1.34133,0.61914,0.69107,0.69981,0.53459,1.10131,1.30558,1.41553,0.000975773,0.000975773,0.000975773
12,15.7128,0.9756,1.09644,1.26922,0.58901,0.72529,0.69649,0.51275,1.1825,1.4481,1.54437,0.000970736,0.000970736,0.000970736
13,16.9115,1.00538,1.0994,1.28534,0.59558,0.72821,0.69739,0.502,1.1126,1.52525,1.53036,0.000965239,0.000965239,0.000965239
14,18.0701,0.94569,1.03816,1.23833,0.67208,0.74604,0.76731,0.54654,1.07483,1.32338,1.47135,0.000959289,0.000959289,0.000959289
15,19.2667,0.97703,1.04118,1.26207,0.77817,0.78403,0.81709,0.56334,1.1168,1.18068,1.50623,0.000952889,0.000952889,0.000952889
16,20.4798,0.92382,0.96273,1.24831,0.88101,0.70569,0.79682,0.55423,1.03263,1.12079,1.54778,0.000946048,0.000946048,0.000946048
17,21.6663,0.96098,1.00506,1.25646,0.837,0.76814,0.8487,0.613,1.041,0.97939,1.43288,0.000938772,0.000938772,0.000938772
18,22.8628,0.93498,0.92375,1.22886,0.83295,0.77709,0.83251,0.62136,0.98355,0.91186,1.37246,0.000931067,0.000931067,0.000931067
19,24.0788,0.93244,0.96322,1.25656,0.84276,0.78559,0.84987,0.65545,0.87563,0.85667,1.25312,0.000922942,0.000922942,0.000922942
20,25.3476,0.90237,0.91768,1.21011,0.85224,0.85505,0.87745,0.66702,0.93309,0.84972,1.3246,0.000914405,0.000914405,0.000914405
21,26.5492,0.90503,0.9228,1.2326,0.70947,0.85257,0.83354,0.56641,1.11367,1.11741,1.45821,0.000905463,0.000905463,0.000905463
22,27.7056,0.93367,0.91994,1.21002,0.90937,0.77935,0.84332,0.62893,0.92608,0.84,1.2561,0.000896127,0.000896127,0.000896127
23,28.8671,0.94251,0.87065,1.22122,0.90128,0.82063,0.85873,0.6102,1.04046,0.87987,1.39134,0.000886404,0.000886404,0.000886404
24,30.0463,0.84479,0.85477,1.18655,0.91307,0.86984,0.90018,0.66088,0.88964,0.90248,1.24218,0.000876305,0.000876305,0.000876305
25,31.2383,0.90613,0.87474,1.2167,0.87213,0.8412,0.84892,0.64335,0.96719,0.74824,1.33418,0.000865839,0.000865839,0.000865839
26,32.4422,0.86372,0.8719,1.1813,0.83813,0.84897,0.90507,0.68819,0.86845,0.84013,1.20797,0.000855018,0.000855018,0.000855018
27,33.6815,0.86289,0.84972,1.17126,0.90069,0.79529,0.84349,0.64474,0.96124,0.86654,1.32981,0.000843851,0.000843851,0.000843851
