epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.04521,1.23447,2.96693,1.50923,0.01183,0.56029,0.14064,0.06325,1.65645,3.55234,2.12507,0.0002,0.0002,0.0802
2,3.34818,1.20022,2.14559,1.4543,0.00308,0.66529,0.29378,0.1435,1.86124,3.62425,2.47321,0.0004099,0.0004099,0.0594099
3,4.59317,1.16872,1.76821,1.41089,0.58025,0.4829,0.40048,0.26765,1.29119,2.44699,1.76664,0.000619394,0.000619394,0.0386194
4,5.8326,1.13179,1.52883,1.37511,0.35211,0.46692,0.39776,0.25208,1.39174,2.0347,1.72591,0.000828177,0.000828177,0.0178282
5,7.06433,1.13778,1.49754,1.38463,0.41906,0.64572,0.53946,0.31298,1.34212,1.73556,1.74733,0.000996097,0.000996097,0.000996097
6,8.27279,1.04531,1.36906,1.32666,0.66797,0.63167,0.62287,0.42847,1.22232,1.5445,1.55582,0.000993906,0.000993906,0.000993906
7,9.50421,1.04552,1.32708,1.32733,0.757,0.6876,0.75326,0.55143,1.05856,1.19493,1.45128,0.000991232,0.000991232,0.000991232
8,10.7456,1.047,1.22354,1.32556,0.73034,0.61261,0.75052,0.49809,1.24082,2.1451,1.6979,0.000988079,0.000988079,0.000988079
9,11.9198,1.08355,1.26716,1.32919,0.8262,0.68105,0.75986,0.53131,1.14532,1.30663,1.50524,0.000984449,0.000984449,0.000984449
10,13.0893,0.99619,1.15429,1.28566,0.67935,0.77054,0.77994,0.56948,0.96063,1.37435,1.40228,0.000980345,0.000980345,0.000980345
11,14.2788,1.04465,1.16113,1.32891,0.73237,0.63147,0.65978,0.49097,1.10997,1.38676,1.41026,0.000975773,0.000975773,0.000975773
12,15.4802,0.95742,1.06762,1.26583,0.68571,0.58924,0.56089,0.43199,1.12677,1.54305,1.47273,0.000970736,0.000970736,0.000970736
