epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.61242814,5.2686455,0.53246855,0.17193408,0.0,0.0,0.0,0.65382743,0.02261235,0.0
2,0.0002997040092642407,0,5.47786904,5.17922364,0.45287027,0.16115232,0.0,0.0,0.0,0.57712828,0.01591299,0.0
3,0.0002988172051971717,0,5.49592239,5.2184589,0.40497549,0.15497176,0.0,0.0,0.0,0.5520641,0.01638382,0.0
4,0.0002973430876093033,0,5.51124083,5.24983025,0.36402048,0.15083766,0.0,0.0,0.0,0.53988272,0.01433337,0.0
5,0.00029528747416929463,0,5.50613646,5.26119638,0.32105081,0.14018749,0.0,0.0,0.0,0.53005991,0.01394104,0.0
6,0.00029265847744427303,1,5.45075345,5.19369503,0.28665592,0.1405125,0.23760006,0.23316171,0.0221918,0.51931851,0.01311995,0.00937236
7,0.0002894664728832377,1,5.42823592,5.18271585,0.25279176,0.13533296,0.24854296,0.2439678,0.02287583,0.51198071,0.01236115,0.00932688
8,0.000285724057869903,1,5.37367522,5.13857782,0.22385784,0.1334525,0.24604438,0.24148419,0.02280099,0.50661807,0.01189063,0.01001406
9,0.00028144600200657956,1,5.30302126,5.0780552,0.19687207,0.12641997,0.24316244,0.23863688,0.02262783,0.50275487,0.01144986,0.00993588
10,0.0002766491888253023,1,5.25821141,5.04132274,0.17497976,0.12526413,0.24195924,0.23738245,0.02288394,0.49735516,0.0111861,0.01068179
11,0.00027135254915624217,1,5.19723087,4.98859979,0.15389986,0.12049485,0.23893808,0.23432245,0.02307819,0.49312361,0.01060232,0.01062309
12,0.0002655769864163684,1,5.175144,4.97365297,0.13664925,0.11777579,0.23290777,0.22815654,0.02375615,0.48850403,0.01100229,0.01065505
13,0.0002593452941132117,1,5.11781273,4.9219794,0.12119473,0.11358398,0.23553417,0.23074798,0.02393096,0.48582205,0.00958959,0.01076858
14,0.0002526820658893033,1,5.08311793,4.89306227,0.10838694,0.11316455,0.23126241,0.22639735,0.02432532,0.47979031,0.00973077,0.01090105
15,0.0002456135984623034,1,5.05235669,4.86553579,0.09808019,0.11285347,0.2312218,0.22621459,0.02503605,0.47933653,0.00958941,0.01107575
16,0.00023816778784387096,1,5.01385902,4.83163165,0.08744147,0.10960413,0.23187627,0.22680821,0.02534031,0.47522414,0.00871349,0.01118631
17,0.00023037401924684944,1,4.99846187,4.81931469,0.08028778,0.1106223,0.22820762,0.22295643,0.02625595,0.47226872,0.00908855,0.01127385
18,0.00022226305111525726,1,4.96478921,4.78972088,0.07096245,0.1046087,0.22690292,0.22163021,0.02636355,0.4702523,0.00853943,0.01151268
19,0.00021386689373476087,1,4.93833242,4.76568086,0.06537358,0.1059318,0.22487209,0.2194505,0.02710795,0.46716392,0.00886286,0.01186318
20,0.00020521868290270169,1,4.92406099,4.75449319,0.05963191,0.10377485,0.22062371,0.2151596,0.02732054,0.46453054,0.00852824,0.01178388
21,0.00019635254915624208,1,4.88654532,4.72046057,0.05370527,0.1001365,0.21696103,0.21140365,0.0277869,0.46079617,0.0082303,0.01180502
22,0.00018730348307472816,1,4.86946954,4.70471992,0.04932457,0.09969932,0.21645344,0.21085599,0.02798723,0.46133042,0.00800608,0.01163508
23,0.00017810719718785867,1,4.8593326,4.69627351,0.04543764,0.09906573,0.21957375,0.21383585,0.02868952,0.45819463,0.00777324,0.01193041
24,0.00016879998503464564,1,4.83282738,4.67155109,0.04155209,0.09564756,0.22096458,0.21519544,0.02884567,0.45666184,0.00736429,0.01212501
25,0.000159418577929397,1,4.8245357,4.66484647,0.03931183,0.09626629,0.21862781,0.21278593,0.02920943,0.45338532,0.00771036,0.01228002
