epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.3409292,5.19465804,0.4875705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0002997040092642407,0,5.25623935,5.12879791,0.4248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0002988172051971717,0,5.32091273,5.20613764,0.38258363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0002973430876093033,0,5.35578283,5.25220743,0.34525121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.00029528747416929463,0,5.33596036,5.24235613,0.31201406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.00029265847744427303,0,5.28795821,5.20322509,0.28244373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0002894664728832377,0,5.25408262,5.17799866,0.2536132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.000285724057869903,0,5.16831944,5.10050473,0.22604898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.00028144600200657956,0,5.10835718,5.04725922,0.20365976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0002766491888253023,0,5.04165027,4.98697073,0.18226505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.00027135254915624217,0,5.04150349,4.9917979,0.16568527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0002655769864163684,0,5.00086139,4.95629756,0.14854603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0002593452941132117,0,4.97999033,4.93932048,0.13556609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0002526820658893033,0,4.91994226,4.88323955,0.12234236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0002456135984623034,0,4.9035489,4.87007453,0.11158109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.00023816778784387096,0,4.86434688,4.83361616,0.10243573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.00023037401924684944,0,4.83589282,4.80807851,0.09271441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.00022226305111525726,0,4.83508734,4.8095862,0.08500376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.00021386689373476087,0,4.7774856,4.75392639,0.07853078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.00020521868290270169,0,4.78007453,4.75793831,0.07378739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.00019635254915624208,0,4.76730697,4.74702622,0.0676025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.00018730348307472816,0,4.74610009,4.72708805,0.06337349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.00017810719718785867,0,4.72557933,4.70765535,0.05974658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.00016879998503464564,0,4.69907003,4.68236179,0.05569424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.000159418577929397,0,4.66116666,4.64544942,0.05239076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.00015,0,4.6810584,4.66641556,0.04880939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.000140581422070603,0,4.65437481,4.64044527,0.04643179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.00013120001496535436,0,4.62756549,4.61469627,0.04289744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
