epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12473,1.39985,3.71089,1.5101,0.09707,0.28611,0.03438,0.01946,1.73323,3.65739,1.74894,0.0002,0.0002,0.0802
2,4.96982,1.38608,3.10471,1.4244,0.05624,0.21916,0.04633,0.02741,1.81602,3.91822,1.99851,0.0004099,0.0004099,0.0594099
3,6.44671,1.39796,2.74352,1.41169,0.35912,0.22862,0.13038,0.07044,1.72549,3.58555,1.80255,0.000619394,0.000619394,0.0386194
4,8.06459,1.41526,2.54472,1.40806,0.41955,0.27967,0.18583,0.10885,1.55214,2.7103,1.48745,0.000828177,0.000828177,0.0178282
5,9.52432,1.38693,2.46934,1.41835,0.26966,0.43823,0.19049,0.10245,1.56753,4.41887,1.53588,0.000996097,0.000996097,0.000996097
6,11.4799,1.42183,2.29611,1.43895,0.31103,0.27187,0.24743,0.14894,1.51687,2.95015,1.48203,0.000993906,0.000993906,0.000993906
7,13.0553,1.34907,2.14681,1.38657,0.23433,0.34684,0.28387,0.16468,1.50484,2.91157,1.50355,0.000991232,0.000991232,0.000991232
8,14.951,1.36105,2.06639,1.38291,0.45772,0.27234,0.23116,0.12416,1.57818,3.23832,1.52908,0.000988079,0.000988079,0.000988079
9,16.7441,1.39694,2.12742,1.42611,0.29662,0.33613,0.27602,0.14833,1.53506,2.98911,1.5306,0.000984449,0.000984449,0.000984449
10,18.5323,1.39168,2.00799,1.39797,0.31694,0.24722,0.29238,0.15125,1.61551,2.90351,1.58211,0.000980345,0.000980345,0.000980345
11,20.3977,1.34511,1.92891,1.36796,0.41095,0.30582,0.31213,0.18642,1.58777,3.01784,1.5421,0.000975773,0.000975773,0.000975773
12,22.4495,1.30944,1.9008,1.36431,0.30482,0.40088,0.29213,0.16202,1.58287,2.33333,1.4846,0.000970736,0.000970736,0.000970736
13,24.2318,1.3205,1.86707,1.37515,0.44199,0.40192,0.42219,0.25232,1.52821,2.26842,1.46821,0.000965239,0.000965239,0.000965239
14,25.9554,1.32179,1.83358,1.36726,0.41763,0.3164,0.33987,0.18224,1.56169,2.57277,1.52516,0.000959289,0.000959289,0.000959289
15,28.062,1.28494,1.77871,1.37,0.40029,0.46063,0.4225,0.23924,1.48853,2.04864,1.46013,0.000952889,0.000952889,0.000952889
16,30.1003,1.30983,1.75458,1.37883,0.49289,0.39848,0.4002,0.21918,1.49991,2.06344,1.4644,0.000946048,0.000946048,0.000946048
