epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54474,1.44812,3.70451,1.54179,0.00083,0.14388,0.00845,0.00242,2.62025,4.40711,3.01481,0.0002,0.0002,0.0802
2,3.97924,1.43037,3.11045,1.46162,0.01758,0.48254,0.06724,0.0438,1.77704,3.86771,1.90963,0.0004099,0.0004099,0.0594099
3,5.4488,1.43072,2.7626,1.44906,0.45405,0.18199,0.14257,0.07937,1.70722,3.46542,1.80179,0.000619394,0.000619394,0.0386194
4,6.85257,1.40093,2.502,1.40909,0.23665,0.20452,0.18486,0.1144,1.53272,2.70764,1.49093,0.000828177,0.000828177,0.0178282
5,8.20846,1.43082,2.45385,1.44207,0.31496,0.28027,0.22323,0.12148,1.59869,3.17164,1.57493,0.000996097,0.000996097,0.000996097
6,9.56239,1.4395,2.32268,1.45389,0.22923,0.41204,0.24661,0.13763,1.60197,3.27793,1.59687,0.000993906,0.000993906,0.000993906
7,10.9599,1.37801,2.15496,1.41013,0.25452,0.53415,0.32041,0.1761,1.49084,2.76216,1.50201,0.000991232,0.000991232,0.000991232
8,12.3628,1.37506,2.09762,1.41345,0.32862,0.55681,0.39547,0.20735,1.55099,2.23331,1.52629,0.000988079,0.000988079,0.000988079
9,13.7295,1.39336,2.10977,1.43202,0.37471,0.45708,0.37311,0.21613,1.59853,2.64949,1.59872,0.000984449,0.000984449,0.000984449
10,15.0735,1.38242,1.98683,1.40683,0.42073,0.45416,0.35002,0.19743,1.48212,2.33107,1.50248,0.000980345,0.000980345,0.000980345
11,16.4432,1.35438,1.91834,1.38416,0.44243,0.38711,0.42253,0.23402,1.57216,2.30482,1.64369,0.000975773,0.000975773,0.000975773
12,17.7513,1.31507,1.91808,1.3835,0.31769,0.54586,0.41994,0.24554,1.50773,2.06914,1.52268,0.000970736,0.000970736,0.000970736
13,19.0906,1.33566,1.88719,1.39175,0.4198,0.46716,0.40851,0.23353,1.51429,2.22377,1.48804,0.000965239,0.000965239,0.000965239
14,20.4699,1.32488,1.85019,1.37032,0.48497,0.42724,0.41019,0.23581,1.55208,2.5555,1.51047,0.000959289,0.000959289,0.000959289
15,21.8317,1.31333,1.79207,1.3833,0.34867,0.56533,0.41875,0.24692,1.43549,1.9705,1.44597,0.000952889,0.000952889,0.000952889
16,23.1899,1.32949,1.76611,1.38915,0.52825,0.50218,0.5074,0.30951,1.46362,1.8906,1.44696,0.000946048,0.000946048,0.000946048
17,24.5985,1.30623,1.68227,1.36358,0.44725,0.53255,0.52323,0.31376,1.41317,1.90985,1.41399,0.000938772,0.000938772,0.000938772
18,25.8972,1.36008,1.71142,1.38449,0.44731,0.59086,0.53519,0.30413,1.46639,2.02866,1.45562,0.000931067,0.000931067,0.000931067
19,27.205,1.26237,1.5761,1.31791,0.47998,0.55588,0.51095,0.30082,1.50548,1.78205,1.44528,0.000922942,0.000922942,0.000922942
20,28.5295,1.28954,1.60743,1.3637,0.52678,0.61477,0.56262,0.3495,1.5402,1.8463,1.49759,0.000914405,0.000914405,0.000914405
21,29.8082,1.27703,1.53003,1.32863,0.5796,0.43926,0.49972,0.30184,1.42903,1.99208,1.41458,0.000905463,0.000905463,0.000905463
22,31.1375,1.25133,1.49202,1.32411,0.54451,0.60375,0.60305,0.39382,1.41377,1.9185,1.39758,0.000896127,0.000896127,0.000896127
23,32.4822,1.30498,1.56655,1.33431,0.47225,0.55189,0.49953,0.29916,1.50421,1.88964,1.46393,0.000886404,0.000886404,0.000886404
24,33.8265,1.20585,1.50196,1.29532,0.53521,0.55968,0.51281,0.30661,1.44869,1.69444,1.42486,0.000876305,0.000876305,0.000876305
25,35.2795,1.23029,1.46756,1.33957,0.73563,0.52881,0.61553,0.37036,1.43816,1.70452,1.43498,0.000865839,0.000865839,0.000865839
26,36.6017,1.20378,1.43815,1.28327,0.5416,0.50614,0.51722,0.31548,1.46219,1.63812,1.41659,0.000855018,0.000855018,0.000855018
27,37.9906,1.26362,1.49161,1.31893,0.43935,0.53014,0.46971,0.28356,1.52839,1.81332,1.48912,0.000843851,0.000843851,0.000843851
28,39.3171,1.21484,1.43789,1.29098,0.56401,0.55432,0.53421,0.30861,1.49627,1.92355,1.47176,0.000832349,0.000832349,0.000832349
29,40.6123,1.20868,1.34161,1.30368,0.69628,0.4833,0.62288,0.37954,1.47879,1.77959,1.46124,0.000820525,0.000820525,0.000820525
30,41.8573,1.19119,1.37895,1.29135,0.53931,0.51342,0.51429,0.31067,1.46113,1.76145,1.47019,0.000808389,0.000808389,0.000808389
31,43.1644,1.21406,1.34635,1.28966,0.59127,0.56795,0.58435,0.34634,1.46474,1.80972,1.46828,0.000795954,0.000795954,0.000795954
32,44.4818,1.1817,1.35058,1.26715,0.6421,0.54142,0.64962,0.41014,1.43142,1.65096,1.43238,0.000783231,0.000783231,0.000783231
33,45.8037,1.19642,1.32681,1.30365,0.63361,0.6046,0.66312,0.42193,1.44003,1.4189,1.42453,0.000770234,0.000770234,0.000770234
34,47.1417,1.18511,1.26822,1.26796,0.53421,0.60638,0.59802,0.38576,1.41789,1.60534,1.41141,0.000756976,0.000756976,0.000756976
