epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96801,1.44619,3.71506,1.53566,0.00701,0.28584,0.03428,0.02149,1.80087,3.75612,1.88493,0.0002,0.0002,0.0802
2,4.7242,1.40909,3.12511,1.45852,0.02025,0.52457,0.07093,0.04251,1.86796,3.89071,2.02415,0.0004099,0.0004099,0.0594099
3,6.59537,1.43323,2.7107,1.43382,0.6107,0.18258,0.16657,0.08537,1.66992,3.29892,1.74743,0.000619394,0.000619394,0.0386194
4,8.40939,1.43296,2.49593,1.42898,0.45313,0.2122,0.21117,0.13335,1.53046,3.13959,1.47744,0.000828177,0.000828177,0.0178282
5,10.3285,1.42458,2.44453,1.42802,0.24826,0.56526,0.24442,0.12643,1.5491,3.07272,1.51318,0.000996097,0.000996097,0.000996097
6,12.2783,1.45803,2.28164,1.44927,0.31169,0.27234,0.24915,0.13655,1.65453,2.98451,1.65948,0.000993906,0.000993906,0.000993906
7,14.2024,1.35944,2.13711,1.39227,0.24109,0.50679,0.31972,0.19022,1.51215,3.17471,1.51711,0.000991232,0.000991232,0.000991232
8,16.0861,1.37499,2.03605,1.38177,0.21402,0.59343,0.29746,0.18003,1.53267,2.85898,1.53476,0.000988079,0.000988079,0.000988079
9,18.0382,1.37353,2.0719,1.40714,0.32195,0.3983,0.32085,0.19806,1.51351,2.54712,1.51176,0.000984449,0.000984449,0.000984449
10,19.6591,1.38245,1.98265,1.38921,0.38231,0.4975,0.39633,0.2299,1.49338,2.20229,1.43991,0.000980345,0.000980345,0.000980345
11,21.1118,1.33768,1.87401,1.3602,0.50413,0.42309,0.39127,0.22356,1.51857,2.37021,1.52883,0.000975773,0.000975773,0.000975773
12,22.5162,1.31847,1.90608,1.37135,0.36275,0.40297,0.32482,0.19408,1.56,2.49131,1.53262,0.000970736,0.000970736,0.000970736
13,23.9566,1.34761,1.90827,1.3861,0.37918,0.42287,0.41097,0.26311,1.50903,2.18339,1.47701,0.000965239,0.000965239,0.000965239
14,25.3906,1.34035,1.83894,1.3887,0.37581,0.48427,0.39254,0.24604,1.53125,2.26761,1.49832,0.000959289,0.000959289,0.000959289
15,26.8015,1.31545,1.81811,1.3987,0.5044,0.51902,0.48382,0.27051,1.53402,2.10353,1.51126,0.000952889,0.000952889,0.000952889
16,28.184,1.31949,1.76039,1.37911,0.44086,0.48537,0.45317,0.26872,1.46026,2.02367,1.43566,0.000946048,0.000946048,0.000946048
17,29.5905,1.3059,1.71868,1.35712,0.50925,0.46238,0.46125,0.27544,1.4408,2.18408,1.44174,0.000938772,0.000938772,0.000938772
18,31.0874,1.33608,1.68511,1.36363,0.43543,0.52178,0.46992,0.27704,1.5136,1.86911,1.4466,0.000931067,0.000931067,0.000931067
19,32.5115,1.25065,1.60114,1.31136,0.38686,0.5233,0.43553,0.24784,1.56417,1.91471,1.47708,0.000922942,0.000922942,0.000922942
20,33.9887,1.27553,1.63534,1.35668,0.66395,0.36688,0.5001,0.30241,1.55586,1.97491,1.47699,0.000914405,0.000914405,0.000914405
21,35.404,1.28202,1.53055,1.32974,0.53107,0.56513,0.52813,0.31096,1.51334,1.78495,1.44723,0.000905463,0.000905463,0.000905463
22,36.8901,1.2541,1.51389,1.32177,0.56093,0.52382,0.51913,0.32034,1.46893,2.04617,1.47792,0.000896127,0.000896127,0.000896127
23,38.311,1.29323,1.5687,1.31996,0.5482,0.43325,0.49668,0.29713,1.46188,1.84008,1.4326,0.000886404,0.000886404,0.000886404
24,39.7013,1.19884,1.47718,1.27902,0.43013,0.48196,0.46572,0.28168,1.44828,1.75598,1.41985,0.000876305,0.000876305,0.000876305
25,41.0833,1.22737,1.49289,1.33008,0.60468,0.44784,0.53334,0.33396,1.47222,1.98215,1.49039,0.000865839,0.000865839,0.000865839
26,42.5202,1.21861,1.45214,1.29059,0.56808,0.49888,0.52339,0.31883,1.48031,1.89911,1.44477,0.000855018,0.000855018,0.000855018
27,43.8782,1.27118,1.51183,1.32555,0.54125,0.51571,0.55299,0.32315,1.45233,1.84771,1.42957,0.000843851,0.000843851,0.000843851
