epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.61310382,5.27016822,0.53354573,0.16227507,0.0,0.0,0.0,0.65285441,0.0228718,0.0
2,0.0002997040092642407,0,5.47653864,5.17831562,0.45343113,0.15361387,0.0,0.0,0.0,0.5777673,0.01593669,0.0
3,0.0002988172051971717,0,5.49999914,5.22338881,0.40519047,0.1480345,0.0,0.0,0.0,0.5511,0.01649829,0.0
4,0.0002973430876093033,0,5.50852304,5.24795281,0.36398755,0.14442853,0.0,0.0,0.0,0.53920437,0.01420002,0.0
5,0.00029528747416929463,0,5.50719268,5.26300527,0.32087329,0.13483087,0.0,0.0,0.0,0.52940829,0.01393447,0.0
6,0.00029265847744427303,1,5.45030678,5.19177331,0.28633007,0.13546198,0.25071558,0.24587831,0.02418638,0.5194306,0.01302969,0.01102294
7,0.0002894664728832377,1,5.42802382,5.18112536,0.25241335,0.13096814,0.25947137,0.25458099,0.02445189,0.51250852,0.01232742,0.01077121
8,0.000285724057869903,1,5.37478185,5.13850924,0.22338334,0.12920944,0.25534356,0.25049042,0.02426568,0.50694276,0.0117761,0.01150123
9,0.00028144600200657956,1,5.30615871,5.08008684,0.19625512,0.12325916,0.25156099,0.24678407,0.0238846,0.50286474,0.01142276,0.01141852
10,0.0002766491888253023,1,5.26245634,5.04428244,0.17441778,0.12246124,0.25016903,0.24535273,0.02408149,0.49812851,0.01106922,0.01196501
11,0.00027135254915624217,1,5.19824838,4.98838561,0.15336398,0.11859318,0.24642431,0.2416026,0.02410853,0.49375559,0.01057137,0.01163588
12,0.0002655769864163684,1,5.17584352,4.97327175,0.13597829,0.1156588,0.23980021,0.23483267,0.0248377,0.48901913,0.0109882,0.0116469
13,0.0002593452941132117,1,5.11968091,4.92268898,0.12055479,0.1117146,0.24286445,0.2378729,0.02495779,0.48647788,0.00952785,0.01159496
14,0.0002526820658893033,1,5.08721303,4.89595772,0.10783407,0.11170631,0.23762971,0.23255101,0.02539348,0.48059185,0.00972296,0.0118254
15,0.0002456135984623034,1,5.0535736,4.86542157,0.09751295,0.11167936,0.23791095,0.23271587,0.02597541,0.48066376,0.00949992,0.01174079
16,0.00023816778784387096,1,5.01718624,4.83367328,0.0869167,0.10858015,0.23796356,0.23273611,0.02613724,0.47638078,0.00865032,0.01195388
17,0.00023037401924684944,1,5.00265081,4.82231575,0.07970778,0.10976554,0.23397466,0.22857396,0.02700352,0.47336228,0.00905122,0.01175249
18,0.00022226305111525726,1,4.96723678,4.79100721,0.07045096,0.1042135,0.23189523,0.22647639,0.02709416,0.47116477,0.00846575,0.012112
19,0.00021386689373476087,1,4.93900671,4.76508978,0.06484309,0.10552197,0.23013649,0.22458963,0.02773433,0.46829125,0.00880655,0.01252146
20,0.00020521868290270169,1,4.92506809,4.75425192,0.05917985,0.10361309,0.22532874,0.21974247,0.02793137,0.46568824,0.00845539,0.01238846
21,0.00019635254915624208,1,4.88764401,4.72018789,0.05324158,0.10017824,0.22197346,0.21629501,0.02839221,0.46216894,0.00822657,0.01246132
22,0.00018730348307472816,1,4.87097763,4.70496619,0.04890015,0.09979396,0.22117818,0.21546483,0.02856673,0.46225895,0.0079547,0.01243133
23,0.00017810719718785867,1,4.86128524,4.69691672,0.04501809,0.09907204,0.22433135,0.21849978,0.02915785,0.45930552,0.00771196,0.01269799
24,0.00016879998503464564,1,4.83473103,4.6720615,0.04113397,0.09567109,0.22523192,0.21937607,0.02927923,0.45809085,0.00734141,0.01307586
25,0.000159418577929397,1,4.82674195,4.6656874,0.0389138,0.0966318,0.22308613,0.21715651,0.02964808,0.45438706,0.00768791,0.01329306
