epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.3406656,5.19439605,0.48756511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0002997040092642407,0,5.25614937,5.12870368,0.42481905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0002988172051971717,0,5.32178061,5.20699717,0.38261148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0002973430876093033,0,5.35634608,5.25276996,0.34525367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.00029528747416929463,0,5.33577754,5.24218482,0.31197569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.00029265847744427303,0,5.28818164,5.20345924,0.2824081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0002894664728832377,0,5.25402678,5.17796011,0.25355568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.000285724057869903,0,5.16844505,5.10064892,0.22598717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.00028144600200657956,0,5.10788135,5.0467995,0.20360617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0002766491888253023,0,5.04203847,4.9873634,0.18225016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.00027135254915624217,0,5.0414364,4.99174221,0.16564729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0002655769864163684,0,5.001007,4.95645034,0.14852223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0002593452941132117,0,4.98067076,4.94000155,0.13556407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0002526820658893033,0,4.92004103,4.88334949,0.12230524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0002456135984623034,0,4.90336965,4.86990463,0.11155007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.00023816778784387096,0,4.86433045,4.83360618,0.10241424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.00023037401924684944,0,4.83611409,4.80830553,0.09269515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.00022226305111525726,0,4.83480424,4.80930921,0.08498343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.00021386689373476087,0,4.77735435,4.75379933,0.07851677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.00020521868290270169,0,4.78009482,4.75796258,0.0737741,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.00019635254915624208,0,4.76710661,4.74683061,0.06758673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.00018730348307472816,0,4.74624587,4.72723657,0.06336437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.00017810719718785867,0,4.72566154,4.70773957,0.05973987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.00016879998503464564,0,4.69908368,4.68237891,0.05568262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.000159418577929397,0,4.66102791,4.64531238,0.05238506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.00015,0,4.68123858,4.66659688,0.04880565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.000140581422070603,0,4.65437966,4.64045098,0.04642893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.00013120001496535436,0,4.62747281,4.61460561,0.04289075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0001218928028121413,0,4.63104685,4.61840622,0.0421354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.00011269651692527177,0,4.62223453,4.61002192,0.04070863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.00010364745084375793,0,4.61167459,4.60037837,0.03765413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,9.478131709729836e-05,0,4.5934352,4.5827731,0.03554037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8.61331062652391e-05,0,4.58130435,4.57087376,0.03476861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,7.773694888474269e-05,0,4.58279288,4.57281477,0.03326036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,6.962598075315047e-05,0,4.57640333,4.56688184,0.0317383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6.183221215612905e-05,0,4.54942688,4.54021911,0.03069256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,5.438640153769654e-05,0,4.5617836,4.55282663,0.02985653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,4.73179341106967e-05,0,4.55221894,4.54378917,0.02809924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,4.0654705886788306e-05,0,4.52357756,4.51562871,0.0264962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3.4423013583631635e-05,0,4.52460333,4.5164882,0.02705037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2.86474508437579e-05,0,4.52127908,4.51380836,0.02490241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2.3350811174697774e-05,0,4.50246066,4.49483251,0.02542723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.8553997993420465e-05,0,4.50988877,4.50291844,0.02323445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.42759421300971e-05,0,4.50097904,4.49388162,0.02365808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.05335271167623e-05,0,4.49998372,4.49328631,0.02232475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,7.341522555726972e-06,0,4.49121279,4.48452077,0.02230673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,4.712525830705356e-06,0,4.49370871,4.48737052,0.02112723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2.656912390696692e-06,0,4.49083833,4.48444153,0.02132264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.1827948028283352e-06,0,4.4881351,4.48177816,0.02118983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2.9599073575926616e-07,0,4.47007923,4.46414007,0.01979718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
