epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.27714,1.56078,2.91328,1.72295,0.01246,0.78719,0.07091,0.02978,1.47331,2.90543,1.65612,5e-05,5e-05,0.09505
2,4.56842,1.38784,2.40524,1.5293,0.01909,0.45932,0.16464,0.07462,1.8837,2.9874,1.96424,0.000109973,0.000109973,0.08911
3,5.77972,1.34173,1.87671,1.417,0.00928,0.58581,0.08295,0.03831,2.31656,3.13912,2.30735,0.000169834,0.000169834,0.0831698
4,6.87667,1.42264,1.62074,1.43496,0.56008,0.07323,0.11323,0.04977,2.41042,3.04241,2.34665,0.000229495,0.000229495,0.0772295
5,7.9694,1.32903,1.46157,1.40594,0.45619,0.08831,0.12972,0.06381,2.27605,3.0402,2.2979,0.000288868,0.000288868,0.0712889
6,9.0334,1.38204,1.3287,1.44768,0.32673,0.23321,0.14793,0.07194,2.01908,2.86585,1.99298,0.000347867,0.000347867,0.0653479
7,10.1283,1.30287,1.28389,1.36515,0.49313,0.22486,0.21969,0.10049,2.06231,2.82538,2.00478,0.000406405,0.000406405,0.0594064
8,11.2038,1.33162,1.30249,1.44184,0.42791,0.24714,0.24963,0.13479,1.752,2.37229,1.625,0.000464397,0.000464397,0.0534644
9,12.2872,1.38709,1.34111,1.43769,0.42902,0.26087,0.27889,0.15309,1.6843,2.30497,1.57254,0.000521758,0.000521758,0.0475218
10,13.339,1.33974,1.27451,1.39036,0.4511,0.3524,0.36712,0.20667,1.65436,2.06865,1.51496,0.000578404,0.000578404,0.0415784
11,14.5358,1.37312,1.25987,1.40193,0.61529,0.36156,0.45762,0.25964,1.61609,2.05047,1.55449,0.000634252,0.000634252,0.0356343
12,15.6437,1.33725,1.24177,1.38494,0.51009,0.3288,0.40107,0.23259,1.61964,2.03772,1.59454,0.000689223,0.000689223,0.0296892
13,16.7395,1.31712,1.18234,1.39377,0.58764,0.27689,0.32406,0.19138,1.63099,2.47016,1.66266,0.000743234,0.000743234,0.0237432
14,17.8235,1.23016,1.11736,1.33716,0.38012,0.25172,0.27178,0.14337,1.73561,2.65674,1.71465,0.000796209,0.000796209,0.0177962
15,18.9156,1.30727,1.24567,1.45055,0.38779,0.36818,0.3292,0.17771,1.65883,2.08652,1.69009,0.000848072,0.000848072,0.0118481
16,19.97,1.39765,1.19235,1.48507,0.38384,0.41419,0.39553,0.21746,1.67854,1.89598,1.67475,0.000898746,0.000898746,0.00589875
17,21.0337,1.33147,1.18347,1.39889,0.47526,0.373,0.34858,0.17616,1.88104,2.23225,1.79831,0.000938772,0.000938772,0.000938772
18,22.0895,1.40677,1.20688,1.45531,0.56258,0.35011,0.36255,0.17085,1.98796,2.37679,1.9719,0.000931067,0.000931067,0.000931067
19,23.1541,1.24975,1.08658,1.35218,0.53847,0.40961,0.3858,0.19913,1.82809,2.31577,1.80378,0.000922942,0.000922942,0.000922942
20,24.2707,1.31845,1.10809,1.41428,0.52129,0.51716,0.51382,0.27726,1.75918,1.85532,1.71245,0.000914405,0.000914405,0.000914405
21,25.3719,1.36574,1.19918,1.39394,0.45143,0.50343,0.4581,0.24024,1.73615,1.74223,1.68367,0.000905463,0.000905463,0.000905463
22,26.4212,1.31553,1.09502,1.35258,0.39133,0.31121,0.29136,0.13979,1.84516,2.45097,1.87404,0.000896127,0.000896127,0.000896127
23,27.4744,1.29977,1.03861,1.37778,0.52482,0.58888,0.53803,0.27701,1.7698,1.67756,1.74746,0.000886404,0.000886404,0.000886404
24,28.5222,1.31472,1.10871,1.3934,0.52899,0.47826,0.47878,0.23996,1.74925,1.80692,1.77184,0.000876305,0.000876305,0.000876305
25,29.6047,1.25442,1.06025,1.35194,0.52488,0.51259,0.51743,0.27926,1.7148,1.75663,1.77367,0.000865839,0.000865839,0.000865839
26,30.6708,1.31465,1.057,1.38264,0.46097,0.38215,0.39251,0.18797,1.88911,2.09533,1.97036,0.000855018,0.000855018,0.000855018
27,31.7074,1.20404,1.02062,1.3316,0.67133,0.38673,0.47751,0.23825,1.79664,1.81723,1.82792,0.000843851,0.000843851,0.000843851
28,32.8167,1.29569,1.08861,1.38311,0.5932,0.50801,0.54514,0.28908,1.7086,1.73974,1.67888,0.000832349,0.000832349,0.000832349
29,33.8739,1.24662,1.01043,1.34468,0.60988,0.50799,0.5299,0.27638,1.78314,1.64176,1.7117,0.000820525,0.000820525,0.000820525
30,34.9387,1.23736,1.02475,1.335,0.60306,0.55626,0.56466,0.30081,1.68095,1.90766,1.63204,0.000808389,0.000808389,0.000808389
31,36.0169,1.17805,0.93176,1.29715,0.621,0.60641,0.62373,0.3296,1.64947,1.76435,1.66839,0.000795954,0.000795954,0.000795954
32,37.0731,1.31163,1.10184,1.36756,0.66092,0.57092,0.62275,0.34058,1.65394,1.43782,1.65518,0.000783231,0.000783231,0.000783231
33,38.1454,1.17303,0.94153,1.28288,0.6264,0.54691,0.59362,0.3261,1.63901,1.4831,1.63148,0.000770234,0.000770234,0.000770234
34,39.2185,1.18899,0.94337,1.31221,0.57278,0.51716,0.55737,0.29994,1.67532,1.62643,1.64742,0.000756976,0.000756976,0.000756976
35,40.2808,1.2539,0.98539,1.32043,0.58294,0.51716,0.54897,0.30694,1.64582,1.63361,1.59825,0.000743468,0.000743468,0.000743468
36,41.34,1.23417,1.00567,1.30486,0.71451,0.53318,0.63165,0.33196,1.70073,1.43189,1.64634,0.000729725,0.000729725,0.000729725
37,42.4667,1.16614,0.94283,1.29649,0.65693,0.51716,0.60764,0.34149,1.64516,1.48016,1.60995,0.000715761,0.000715761,0.000715761
38,43.5408,1.23583,0.99049,1.36911,0.67222,0.47826,0.55802,0.29789,1.63247,1.73728,1.61054,0.000701588,0.000701588,0.000701588
39,44.5975,1.12271,0.88662,1.26342,0.73018,0.63616,0.71321,0.4067,1.55078,1.17417,1.56745,0.000687222,0.000687222,0.000687222
40,45.6698,1.10671,0.93095,1.29115,0.66564,0.60183,0.66986,0.37509,1.5673,1.25387,1.58433,0.000672675,0.000672675,0.000672675
41,46.7385,1.15937,0.90872,1.27976,0.64118,0.57666,0.62712,0.34986,1.53315,1.37287,1.55002,0.000657963,0.000657963,0.000657963
42,47.7733,1.06197,0.97378,1.28623,0.57399,0.55149,0.54299,0.30956,1.59573,1.69429,1.59376,0.000643101,0.000643101,0.000643101
43,48.8033,1.1204,0.87539,1.27043,0.56781,0.58124,0.59417,0.34136,1.54577,1.49051,1.55073,0.000628101,0.000628101,0.000628101
44,49.8676,1.0903,0.78602,1.23642,0.61938,0.61327,0.64264,0.37002,1.56087,1.37995,1.55759,0.000612981,0.000612981,0.000612981
45,50.99,1.13913,0.90504,1.28205,0.67854,0.61327,0.69183,0.40612,1.50773,1.39282,1.5019,0.000597754,0.000597754,0.000597754
46,52.0448,1.16649,0.99251,1.28293,0.69255,0.59725,0.69686,0.41012,1.49458,1.35174,1.4981,0.000582435,0.000582435,0.000582435
47,53.129,1.13715,0.90575,1.26227,0.66848,0.6659,0.71898,0.42806,1.45807,1.15059,1.46966,0.00056704,0.00056704,0.00056704
48,54.2009,1.14651,0.88717,1.28261,0.69072,0.67048,0.72017,0.42206,1.53328,1.16197,1.53104,0.000551584,0.000551584,0.000551584
49,55.2793,1.06252,0.78136,1.22959,0.70783,0.64989,0.70325,0.41884,1.49925,1.21199,1.49646,0.000536081,0.000536081,0.000536081
50,56.3613,1.10597,0.89184,1.27787,0.6769,0.65217,0.70386,0.41227,1.48043,1.1851,1.49016,0.000520548,0.000520548,0.000520548
51,57.4281,0.98706,0.7277,1.19185,0.76681,0.59039,0.68979,0.39382,1.56236,1.23819,1.56473,0.000505,0.000505,0.000505
52,58.4963,1.00647,0.78528,1.20404,0.67442,0.64073,0.68191,0.39599,1.50349,1.15916,1.49892,0.000489452,0.000489452,0.000489452
53,59.5578,1.02719,0.70923,1.20316,0.69213,0.60704,0.67651,0.37801,1.56419,1.21174,1.5292,0.000473919,0.000473919,0.000473919
