epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.13886,1.56217,2.8913,1.7268,0.01098,0.69336,0.04353,0.01734,1.67825,3.01161,1.97162,5e-05,5e-05,0.09505
2,6.0858,1.37802,2.39704,1.52364,0.01377,0.30664,0.08762,0.03334,2.56105,3.61401,2.78468,0.000109973,0.000109973,0.08911
3,7.77169,1.3685,1.86208,1.40873,0.00627,0.39588,0.00819,0.00301,2.73037,3.54243,2.85617,0.000169834,0.000169834,0.0831698
4,9.24451,1.44009,1.6514,1.44478,0.205,0.0595,0.04376,0.01364,2.51493,3.42635,2.61554,0.000229495,0.000229495,0.0772295
5,10.8075,1.32857,1.45493,1.40031,0.2793,0.04348,0.04513,0.01984,2.49515,3.77284,2.74215,0.000288868,0.000288868,0.0712889
6,12.2856,1.38546,1.33576,1.44788,0.1089,0.05492,0.02561,0.01521,2.63464,3.87026,2.90353,0.000347867,0.000347867,0.0653479
7,13.7027,1.31654,1.32679,1.37271,0.4225,0.23341,0.23718,0.1297,2.05161,3.15732,2.15645,0.000406405,0.000406405,0.0594064
8,15.3297,1.33396,1.366,1.44951,0.26425,0.21739,0.14766,0.07006,1.94269,3.29284,2.08219,0.000464397,0.000464397,0.0534644
9,16.7973,1.41985,1.35837,1.45141,0.32199,0.24256,0.19311,0.10876,1.82252,3.04558,1.90565,0.000521758,0.000521758,0.0475218
10,18.4024,1.34566,1.24334,1.40332,0.27396,0.21739,0.16893,0.08682,1.94336,3.37092,2.02276,0.000578404,0.000578404,0.0415784
11,19.8686,1.40928,1.27648,1.39974,0.32858,0.3341,0.19076,0.1045,1.7686,3.11554,1.88822,0.000634252,0.000634252,0.0356343
12,21.3181,1.33679,1.23362,1.37464,0.40316,0.24256,0.22955,0.13029,1.79188,2.74216,1.9613,0.000689223,0.000689223,0.0296892
13,22.7745,1.28454,1.21633,1.37327,0.3146,0.22197,0.20582,0.11509,1.75256,3.13859,1.94077,0.000743234,0.000743234,0.0237432
14,24.3614,1.24807,1.10243,1.33463,0.29015,0.17391,0.12807,0.06106,2.03869,3.74173,2.21533,0.000796209,0.000796209,0.0177962
15,25.661,1.30296,1.24699,1.43296,0.49586,0.25659,0.31882,0.15674,1.75365,2.36446,1.83254,0.000848072,0.000848072,0.0118481
16,27.259,1.33479,1.19959,1.43341,0.59352,0.40046,0.45785,0.24834,1.68813,2.11191,1.72455,0.000898746,0.000898746,0.00589875
17,28.9579,1.31916,1.18384,1.37767,0.53648,0.35756,0.39115,0.19534,1.77651,2.79536,1.76725,0.000938772,0.000938772,0.000938772
18,30.5963,1.39044,1.20084,1.44009,0.53371,0.50801,0.50617,0.25485,1.75856,2.06528,1.74129,0.000931067,0.000931067,0.000931067
19,31.8989,1.26532,1.07565,1.3492,0.64997,0.53547,0.59947,0.32084,1.64535,1.58003,1.69153,0.000922942,0.000922942,0.000922942
20,33.4421,1.31064,1.08426,1.41614,0.68645,0.56979,0.63916,0.35249,1.61138,1.47299,1.67343,0.000914405,0.000914405,0.000914405
21,34.7099,1.3504,1.1989,1.37542,0.64598,0.476,0.53215,0.28314,1.73061,1.79744,1.79863,0.000905463,0.000905463,0.000905463
22,36.3173,1.29511,1.07966,1.33253,0.44223,0.38444,0.36417,0.19141,1.80705,2.29971,1.93837,0.000896127,0.000896127,0.000896127
23,37.8453,1.30125,1.01968,1.36097,0.55494,0.50114,0.48167,0.25588,1.74882,1.78827,1.82555,0.000886404,0.000886404,0.000886404
24,39.4689,1.29076,1.11328,1.38914,0.52849,0.52579,0.50599,0.26119,1.72089,1.70155,1.73028,0.000876305,0.000876305,0.000876305
25,41.1553,1.2439,1.0512,1.32677,0.54166,0.51487,0.52218,0.2747,1.6554,1.61596,1.66212,0.000865839,0.000865839,0.000865839
26,42.4078,1.30827,1.07511,1.37024,0.63698,0.43707,0.51077,0.27659,1.69915,1.79822,1.66643,0.000855018,0.000855018,0.000855018
27,44.0184,1.1958,1.02892,1.30972,0.60703,0.48513,0.5204,0.29237,1.64054,1.81074,1.59736,0.000843851,0.000843851,0.000843851
28,45.6002,1.29296,1.06873,1.36833,0.59903,0.52989,0.56452,0.29871,1.78104,1.63074,1.75735,0.000832349,0.000832349,0.000832349
29,47.1568,1.24073,1.01253,1.34577,0.65095,0.5881,0.61993,0.34333,1.6137,1.38649,1.6582,0.000820525,0.000820525,0.000820525
30,48.4042,1.22093,0.97509,1.30372,0.62988,0.55689,0.60092,0.33528,1.64203,1.41745,1.59983,0.000808389,0.000808389,0.000808389
31,50.0702,1.16424,0.94583,1.27653,0.69207,0.54516,0.63346,0.34503,1.66978,1.40484,1.65663,0.000795954,0.000795954,0.000795954
32,51.6377,1.26159,1.07123,1.3249,0.58508,0.56522,0.59996,0.33938,1.62374,1.40826,1.63459,0.000783231,0.000783231,0.000783231
33,52.8765,1.17509,0.933,1.27857,0.53415,0.58352,0.5711,0.30928,1.69214,1.46842,1.67352,0.000770234,0.000770234,0.000770234
34,54.5709,1.16898,0.91687,1.27303,0.58252,0.54005,0.5806,0.3296,1.6369,1.4619,1.62648,0.000756976,0.000756976,0.000756976
35,56.1609,1.19862,0.96488,1.29457,0.58625,0.46682,0.51357,0.28966,1.57956,1.6973,1.55803,0.000743468,0.000743468,0.000743468
36,57.8024,1.21548,1.00795,1.29319,0.62445,0.55933,0.6083,0.33805,1.56785,1.45704,1.54067,0.000729725,0.000729725,0.000729725
37,59.1096,1.16143,0.94437,1.29318,0.63697,0.44622,0.51061,0.29453,1.63183,1.70091,1.56746,0.000715761,0.000715761,0.000715761
38,60.6691,1.16988,1.02092,1.31305,0.57959,0.56155,0.59741,0.34365,1.52823,1.36648,1.52056,0.000701588,0.000701588,0.000701588
39,62.1967,1.14459,0.87346,1.25879,0.67675,0.65446,0.69982,0.39287,1.50979,1.22933,1.49892,0.000687222,0.000687222,0.000687222
40,63.4582,1.14,0.92983,1.29671,0.65102,0.54005,0.59998,0.35065,1.51796,1.46691,1.52705,0.000672675,0.000672675,0.000672675
41,64.9807,1.15001,0.87547,1.2597,0.47097,0.40336,0.39789,0.23226,1.60189,2.16105,1.65833,0.000657963,0.000657963,0.000657963
42,66.1581,1.04878,0.97192,1.26599,0.59421,0.48922,0.54412,0.31559,1.58144,1.70407,1.58834,0.000643101,0.000643101,0.000643101
43,67.3492,1.14497,0.84959,1.2658,0.60102,0.47368,0.54322,0.31067,1.55938,1.62514,1.5872,0.000628101,0.000628101,0.000628101
44,69.076,1.08448,0.79248,1.23284,0.7528,0.54691,0.6499,0.38499,1.51814,1.34386,1.54695,0.000612981,0.000612981,0.000612981
45,70.6298,1.13301,0.90381,1.29141,0.70153,0.51716,0.61384,0.36214,1.5486,1.53327,1.57702,0.000597754,0.000597754,0.000597754
46,72.0756,1.16314,0.98288,1.28058,0.74063,0.54462,0.67786,0.39371,1.50873,1.32229,1.5242,0.000582435,0.000582435,0.000582435
47,73.7192,1.1154,0.87313,1.24637,0.69358,0.56064,0.66766,0.39399,1.52943,1.27088,1.53882,0.00056704,0.00056704,0.00056704
48,75.475,1.10308,0.84139,1.25266,0.6554,0.59497,0.65431,0.38697,1.55015,1.35533,1.54624,0.000551584,0.000551584,0.000551584
49,77.1581,1.07093,0.77463,1.23205,0.66579,0.62471,0.70162,0.42126,1.4923,1.19595,1.50889,0.000536081,0.000536081,0.000536081
50,78.631,1.09182,0.88595,1.28275,0.65537,0.62014,0.67239,0.40242,1.49139,1.20568,1.51744,0.000520548,0.000520548,0.000520548
