epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12791,1.56655,2.89917,1.73038,0.01149,0.7254,0.02976,0.01214,1.65454,3.00877,1.91306,5e-05,5e-05,0.09505
2,4.32512,1.39174,2.37725,1.51111,0.01131,0.20137,0.05914,0.02932,2.32991,3.51573,2.50069,0.000109973,0.000109973,0.08911
3,5.46607,1.33454,1.79638,1.39368,0.00783,0.49428,0.03135,0.01811,2.35894,3.26334,2.37296,0.000169834,0.000169834,0.0831698
4,6.53924,1.42143,1.61093,1.41442,0.53819,0.09334,0.1386,0.0693,2.14216,2.82205,2.0795,0.000229495,0.000229495,0.0772295
5,7.62871,1.35247,1.44672,1.39011,0.71201,0.20366,0.27766,0.14605,2.04924,2.6181,1.95553,0.000288868,0.000288868,0.0712889
6,8.71338,1.41181,1.32621,1.44177,0.50799,0.25281,0.2942,0.16214,1.96405,2.41601,1.79063,0.000347867,0.000347867,0.0653479
7,9.78214,1.32602,1.2842,1.37814,0.39783,0.23735,0.22025,0.12401,1.89303,2.61319,1.75465,0.000406405,0.000406405,0.0594064
8,10.8934,1.34271,1.31087,1.44167,0.54265,0.32038,0.35043,0.20741,1.66069,2.38627,1.61257,0.000464397,0.000464397,0.0534644
9,11.9925,1.40031,1.36145,1.44609,0.51149,0.27074,0.30141,0.18164,1.65555,2.54806,1.68127,0.000521758,0.000521758,0.0475218
10,13.0435,1.33579,1.28126,1.38253,0.5188,0.33638,0.40824,0.24258,1.57081,2.00727,1.58029,0.000578404,0.000578404,0.0415784
11,14.1311,1.38866,1.27407,1.3906,0.53528,0.32952,0.38383,0.24019,1.57307,2.11334,1.61973,0.000634252,0.000634252,0.0356343
12,15.1954,1.3508,1.22861,1.38076,0.40821,0.29291,0.33267,0.17074,1.76921,2.35981,1.8201,0.000689223,0.000689223,0.0296892
13,16.2536,1.30503,1.21498,1.38421,0.63102,0.24714,0.28321,0.15538,1.86597,2.9728,1.96682,0.000743234,0.000743234,0.0237432
14,17.3114,1.23818,1.1411,1.34097,0.42012,0.3341,0.3511,0.19936,1.76263,2.40203,1.76319,0.000796209,0.000796209,0.0177962
15,18.3766,1.26177,1.19774,1.40604,0.3965,0.43707,0.4058,0.22307,1.63191,2.09482,1.63244,0.000848072,0.000848072,0.0118481
16,19.5117,1.36727,1.18344,1.44187,0.34729,0.40788,0.32453,0.15827,1.80852,2.08535,1.80479,0.000898746,0.000898746,0.00589875
17,20.5637,1.33623,1.17246,1.39269,0.49394,0.3395,0.34763,0.18326,1.76644,2.34033,1.75347,0.000938772,0.000938772,0.000938772
18,21.6251,1.36661,1.18911,1.43162,0.48449,0.3913,0.37161,0.18453,1.87186,2.52078,1.88728,0.000931067,0.000931067,0.000931067
19,22.6771,1.24038,1.08901,1.33808,0.57107,0.4508,0.47271,0.26306,1.66352,2.02822,1.70975,0.000922942,0.000922942,0.000922942
20,23.7498,1.27349,1.06526,1.37906,0.58205,0.49715,0.5257,0.28263,1.71365,1.79006,1.71579,0.000914405,0.000914405,0.000914405
21,24.8352,1.35157,1.19064,1.39431,0.64715,0.49657,0.54471,0.29969,1.62687,1.86103,1.61209,0.000905463,0.000905463,0.000905463
22,25.9071,1.29246,1.06186,1.34458,0.49125,0.40961,0.39856,0.19968,1.82033,2.22427,1.8351,0.000896127,0.000896127,0.000896127
23,26.9808,1.29958,1.03515,1.36012,0.49551,0.49657,0.48656,0.25246,1.74657,1.81239,1.70747,0.000886404,0.000886404,0.000886404
24,28.0534,1.27524,1.07481,1.376,0.48623,0.40275,0.41422,0.21651,1.80187,2.05619,1.74561,0.000876305,0.000876305,0.000876305
25,29.2056,1.23952,1.06756,1.33673,0.49147,0.47826,0.44386,0.22743,1.79433,1.78832,1.75403,0.000865839,0.000865839,0.000865839
26,30.2862,1.29885,1.06973,1.36879,0.65501,0.47597,0.55879,0.30088,1.74175,1.73267,1.65788,0.000855018,0.000855018,0.000855018
27,31.369,1.1826,1.04567,1.31536,0.59994,0.54005,0.56334,0.29275,1.67146,1.60003,1.60483,0.000843851,0.000843851,0.000843851
28,32.4568,1.28091,1.06172,1.36885,0.55141,0.49428,0.51234,0.27023,1.78084,1.8329,1.71148,0.000832349,0.000832349,0.000832349
29,33.5014,1.24225,0.99464,1.34035,0.70404,0.47904,0.5773,0.33015,1.63425,1.59672,1.639,0.000820525,0.000820525,0.000820525
30,34.5364,1.21959,0.98046,1.31938,0.6558,0.54498,0.61373,0.33632,1.66718,1.51848,1.612,0.000808389,0.000808389,0.000808389
31,35.6247,1.19372,0.96424,1.29133,0.60244,0.59725,0.62897,0.34722,1.56857,1.46208,1.54453,0.000795954,0.000795954,0.000795954
32,36.6788,1.28428,1.10579,1.34,0.65148,0.63387,0.64629,0.35334,1.558,1.40017,1.56076,0.000783231,0.000783231,0.000783231
33,37.7916,1.18906,0.96399,1.29284,0.64696,0.48284,0.56544,0.31526,1.58346,1.70481,1.59842,0.000770234,0.000770234,0.000770234
34,38.8417,1.21603,0.97069,1.32411,0.55149,0.53743,0.5615,0.30268,1.59869,1.57984,1.60195,0.000756976,0.000756976,0.000756976
35,39.8689,1.18679,0.97135,1.27595,0.66124,0.53318,0.60137,0.34441,1.57861,1.59512,1.57847,0.000743468,0.000743468,0.000743468
36,40.9616,1.26185,1.01805,1.31686,0.72463,0.56604,0.65067,0.35955,1.56962,1.36529,1.57557,0.000729725,0.000729725,0.000729725
37,42.0402,1.13853,0.93023,1.27713,0.66081,0.64196,0.63212,0.32961,1.58187,1.56577,1.57086,0.000715761,0.000715761,0.000715761
38,43.0893,1.23941,0.99556,1.35313,0.6278,0.60984,0.65713,0.3641,1.57189,1.33869,1.57077,0.000701588,0.000701588,0.000701588
39,44.1517,1.11684,0.8708,1.24712,0.6324,0.66925,0.63775,0.34654,1.5416,1.50823,1.55522,0.000687222,0.000687222,0.000687222
40,45.2004,1.131,0.91384,1.29286,0.63806,0.63737,0.68529,0.37933,1.6135,1.23409,1.59369,0.000672675,0.000672675,0.000672675
41,46.3196,1.16334,0.90417,1.26676,0.66394,0.59725,0.66935,0.37602,1.58645,1.25256,1.57487,0.000657963,0.000657963,0.000657963
42,47.3744,1.04496,0.94965,1.26914,0.69124,0.64551,0.70382,0.38914,1.56633,1.31146,1.54742,0.000643101,0.000643101,0.000643101
43,48.4405,1.14014,0.85313,1.2569,0.68825,0.64531,0.68654,0.39594,1.49003,1.25373,1.49793,0.000628101,0.000628101,0.000628101
44,49.5214,1.0823,0.79471,1.22872,0.67953,0.63158,0.68839,0.39762,1.53792,1.25218,1.55534,0.000612981,0.000612981,0.000612981
45,50.5957,1.14487,0.89569,1.2803,0.67506,0.6476,0.68275,0.39786,1.50158,1.4594,1.50701,0.000597754,0.000597754,0.000597754
