epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,6.06816187,5.77791877,0.44174464,0.14090278,0.0,0.0,0.0,0.56388448,0.01772212,0.0
2,0.0002997040092642407,0,5.91914394,5.70310165,0.25511924,0.11710567,0.0,0.0,0.0,0.50331677,0.01311166,0.0
3,0.0002988172051971717,0,5.70020075,5.52489272,0.14444353,0.10289914,0.0,0.0,0.0,0.4801009,0.01106539,0.0
4,0.0002973430876093033,0,5.57320034,5.42088077,0.08353388,0.09217458,0.0,0.0,0.0,0.46616576,0.0100033,0.0
5,0.00029528747416929463,0,5.47019102,5.3311348,0.05106478,0.08469789,0.0,0.0,0.0,0.45577029,0.00882936,0.0
6,0.00029265847744427303,1,5.42110911,5.26808407,0.03315912,0.07936156,0.18858824,0.18772955,0.00429347,0.4502087,0.00811781,0.01674981
7,0.0002894664728832377,1,5.36112827,5.21422993,0.02248452,0.07379206,0.17623223,0.17535339,0.00439418,0.44597494,0.00745984,0.01691892
8,0.000285724057869903,1,5.31912256,5.17636574,0.01621726,0.0702127,0.16741121,0.16648087,0.00465171,0.44206703,0.00699333,0.01709015
9,0.00028144600200657956,1,5.27745299,5.13756599,0.01222718,0.06755656,0.16202444,0.16102864,0.00497899,0.43871213,0.00645978,0.01742483
10,0.0002766491888253023,1,5.245336,5.10796443,0.00940319,0.06365505,0.15719791,0.15613612,0.00530896,0.4354375,0.00601445,0.0180251
11,0.00027135254915624217,1,5.21329415,5.07766842,0.00757528,0.06227311,0.15377309,0.15264839,0.00562346,0.43256279,0.00581343,0.01823882
12,0.0002655769864163684,1,5.19785172,5.06385886,0.00615637,0.05876067,0.15063692,0.14944886,0.00594032,0.43042038,0.00566959,0.01833752
13,0.0002593452941132117,1,5.17747369,5.04460488,0.0051563,0.05744373,0.14894631,0.1477046,0.00620859,0.42824887,0.00530245,0.01883533
14,0.0002526820658893033,1,5.1487233,5.0170542,0.00433655,0.05543613,0.14733148,0.14604873,0.00641373,0.42588659,0.00491324,0.0192181
15,0.0002456135984623034,1,5.14307394,5.01220151,0.0037588,0.05397131,0.14620552,0.14488787,0.00658826,0.42431457,0.0049577,0.01936524
16,0.00023816778784387096,1,5.12285131,4.99275591,0.0032427,0.05210931,0.14551928,0.14417821,0.00670536,0.42293608,0.00461225,0.01955921
17,0.00023037401924684944,1,5.11377,4.98443841,0.00288587,0.05116224,0.14472738,0.14336367,0.00681855,0.42082094,0.00449308,0.01998471
18,0.00022226305111525726,1,5.09135375,4.96268196,0.00257398,0.04981653,0.14407476,0.14270976,0.00682499,0.41926045,0.00442086,0.02021511
19,0.00021386689373476087,1,5.08701906,4.95890284,0.00229722,0.04887468,0.14431741,0.14295733,0.00680041,0.41761171,0.00415522,0.02054425
20,0.00020521868290270169,1,5.07446704,4.94682307,0.00209988,0.04808196,0.14393365,0.14257942,0.00677113,0.41630368,0.00398849,0.0209218
21,0.00019635254915624208,1,5.06200313,4.93482611,0.00190794,0.04723662,0.14399613,0.14265618,0.00669974,0.41499278,0.00382407,0.0210638
22,0.00018730348307472816,1,5.05377603,4.92702466,0.00172615,0.04615881,0.14341805,0.14209456,0.0066174,0.41387661,0.00368467,0.02169328
23,0.00017810719718785867,1,5.04254619,4.91617995,0.00159721,0.04540458,0.14456179,0.14325463,0.0065358,0.41243555,0.00357867,0.02163172
24,0.00016879998503464564,1,5.03721146,4.91102539,0.00147741,0.04418573,0.14504419,0.1437621,0.00641044,0.41191497,0.00356159,0.02204575
25,0.000159418577929397,1,5.02358014,4.89774181,0.0013697,0.04408147,0.14392695,0.14266548,0.00630732,0.41101764,0.00340217,0.02241208
26,0.00015,1,5.01755464,4.89183185,0.0012894,0.04410286,0.14521609,0.14397283,0.00621625,0.41001672,0.00336826,0.02263107
27,0.000140581422070603,1,5.01128275,4.88584897,0.00117821,0.0427418,0.14617254,0.1449535,0.00609522,0.40903568,0.00321462,0.02298545
28,0.00013120001496535436,1,5.00348235,4.87825016,0.00111976,0.04275292,0.14563296,0.14442826,0.00602353,0.40827779,0.00324137,0.02334697
29,0.0001218928028121413,1,4.99717952,4.87223559,0.0010356,0.04193721,0.14666051,0.14547322,0.00593647,0.40710733,0.0030939,0.02355035
30,0.00011269651692527177,1,4.9917232,4.86690109,0.00096984,0.0420084,0.14744758,0.14627529,0.00586145,0.40637948,0.0030128,0.02359163
31,0.00010364745084375793,1,4.98771522,4.86308947,0.00090648,0.04115364,0.14792017,0.14676328,0.00578443,0.40559126,0.00300736,0.02398332
32,9.478131709729836e-05,1,4.98177691,4.85731934,0.00085561,0.04070782,0.14831905,0.14717658,0.00571238,0.40475226,0.00293005,0.02447111
33,8.61331062652391e-05,1,4.97449779,4.85015838,0.00079758,0.04046778,0.14894372,0.14781131,0.00566204,0.4040745,0.00281331,0.02478903
34,7.773694888474269e-05,1,4.97179714,4.84755137,0.00076374,0.04026543,0.14916106,0.14803685,0.00562103,0.40359689,0.00279409,0.02503775
35,6.962598075315047e-05,1,4.96897641,4.8447417,0.00071197,0.03993822,0.15045486,0.14933682,0.00559023,0.40307551,0.0028082,0.02527792
36,6.183221215612905e-05,1,4.96678362,4.84254761,0.0006847,0.04039295,0.15105374,0.14994509,0.00554327,0.40246476,0.00276959,0.02569528
37,5.438640153769654e-05,1,4.96128597,4.83724273,0.00064174,0.04002337,0.1508637,0.14976184,0.00550931,0.40187305,0.00268135,0.02594362
38,4.73179341106967e-05,1,4.95576462,4.83183979,0.00061196,0.04001369,0.15172498,0.15063016,0.0054741,0.40091075,0.00269802,0.02623339
39,4.0654705886788306e-05,1,4.95249313,4.82848443,0.00058017,0.04001831,0.15231835,0.15122877,0.00544792,0.40093308,0.00266558,0.02645255
40,3.4423013583631635e-05,1,4.94796238,4.82396357,0.00055311,0.03951952,0.15282501,0.15173862,0.00543196,0.40084174,0.00259517,0.02665808
41,2.86474508437579e-05,1,4.94728488,4.82328098,0.0005269,0.03965465,0.15339684,0.15229047,0.00553186,0.40029563,0.00282708,0.02695125
42,2.3350811174697774e-05,1,4.94377791,4.81966604,0.00050429,0.03979286,0.15417552,0.15309356,0.00540975,0.40040929,0.0026057,0.02713683
43,1.8553997993420465e-05,1,4.94346561,4.81955706,0.00048676,0.03953142,0.15436181,0.15328395,0.00538931,0.39953583,0.00253461,0.02739407
44,1.42759421300971e-05,1,4.93731209,4.81330372,0.00046189,0.03926373,0.15573277,0.15465663,0.00538074,0.39949647,0.00247511,0.02749848
45,1.05335271167623e-05,1,4.93635576,4.81243502,0.00045229,0.03959178,0.1556393,0.15456147,0.00538914,0.39902737,0.00249744,0.02753668
