epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.28751091,5.16995846,0.39184151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0002997040092642407,0,5.06301906,4.99087714,0.24047303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0002988172051971717,0,4.87332564,4.82964103,0.14561533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0002973430876093033,0,4.7413902,4.71358244,0.09269256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.00029528747416929463,0,4.65209338,4.63318123,0.06304052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.00029265847744427303,0,4.58679836,4.57281826,0.04660033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0002894664728832377,0,4.53794568,4.52725156,0.03564707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.000285724057869903,0,4.49440679,4.48576028,0.02882166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.00028144600200657956,0,4.45937492,4.4521136,0.02420438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0002766491888253023,0,4.43091935,4.42478859,0.02043586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.00027135254915624217,0,4.40615163,4.40081362,0.01779342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0002655769864163684,0,4.38251854,4.37780495,0.01571193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0002593452941132117,0,4.36114751,4.35698468,0.01387611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0002526820658893033,0,4.34630595,4.34253624,0.01256569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0002456135984623034,0,4.32897241,4.3255795,0.01130975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.00023816778784387096,0,4.31218466,4.30910892,0.01025244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.00023037401924684944,0,4.29999797,4.29713814,0.00953277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.00022226305111525726,0,4.28598578,4.28340911,0.00858894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.00021386689373476087,0,4.27599215,4.27358125,0.0080363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.00020521868290270169,0,4.26500595,4.26278426,0.00740568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.00019635254915624208,0,4.25468944,4.25262917,0.00686757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.00018730348307472816,0,4.24528212,4.24335528,0.00642274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.00017810719718785867,0,4.23366888,4.23189355,0.00591775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
