epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0595,1.72091,4.57948,1.46578,0.2187,0.04591,0.0168,0.0091,1.80412,3.89599,1.52353,0.000331492,0.000331492,0.0671823
2,26.2436,1.73407,3.97406,1.47605,0.23669,0.09717,0.03087,0.01659,1.86955,3.69721,1.54045,0.000664663,0.000664663,0.0341822
3,37.938,1.76868,3.67272,1.50717,0.3418,0.08562,0.04399,0.0239,1.83785,3.42483,1.57663,0.000997183,0.000997183,0.00118135
4,49.7014,1.74187,3.51292,1.51495,0.24827,0.12065,0.06319,0.03297,1.79958,3.34595,1.5099,0.000997803,0.000997803,0.000997803
5,61.1716,1.72072,3.34319,1.48506,0.2192,0.13092,0.07692,0.04359,1.75563,3.22268,1.51728,0.000996097,0.000996097,0.000996097
6,72.3871,1.69889,3.2508,1.47894,0.36619,0.12109,0.07843,0.04546,1.77,3.23865,1.5424,0.000993906,0.000993906,0.000993906
7,83.7704,1.68558,3.19158,1.45993,0.2905,0.15209,0.09494,0.05094,1.73544,2.97142,1.478,0.000991232,0.000991232,0.000991232
8,94.7385,1.67808,3.10672,1.45508,0.29633,0.15577,0.10473,0.0571,1.73744,3.10993,1.50129,0.000988079,0.000988079,0.000988079
9,106.621,1.67401,3.02072,1.44858,0.25855,0.18732,0.10888,0.06003,1.72763,3.11765,1.4587,0.000984449,0.000984449,0.000984449
10,118.359,1.6438,2.96305,1.43647,0.28386,0.19874,0.12272,0.06869,1.67532,2.90103,1.45222,0.000980345,0.000980345,0.000980345
11,129.938,1.63413,2.91657,1.41979,0.2131,0.20498,0.12341,0.07111,1.67233,2.84216,1.43555,0.000975773,0.000975773,0.000975773
12,141.4,1.63581,2.88668,1.4133,0.26634,0.20041,0.13741,0.07887,1.68376,2.88534,1.46287,0.000970736,0.000970736,0.000970736
13,153.039,1.63056,2.80506,1.41866,0.20562,0.21926,0.14253,0.08065,1.67868,2.78171,1.44535,0.000965239,0.000965239,0.000965239
14,164.73,1.61285,2.74703,1.40482,0.28969,0.21165,0.13547,0.0749,1.69424,2.84078,1.46124,0.000959289,0.000959289,0.000959289
15,176.407,1.60308,2.73879,1.40389,0.23575,0.19387,0.14042,0.07718,1.69661,2.79069,1.46825,0.000952889,0.000952889,0.000952889
16,187.835,1.62503,2.69883,1.41039,0.28919,0.21715,0.15442,0.0841,1.69262,2.70673,1.45994,0.000946048,0.000946048,0.000946048
