epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3497,1.76474,4.6078,1.49955,0.22742,0.05549,0.01317,0.00675,1.8536,4.01334,1.50133,0.000331492,0.000331492,0.0671823
2,42.4134,1.74927,3.95191,1.48589,0.20815,0.1363,0.0374,0.01843,1.84059,3.64486,1.55972,0.000664663,0.000664663,0.0341822
3,61.1108,1.77427,3.63206,1.51199,0.29773,0.11091,0.05752,0.03032,1.78213,3.31478,1.54061,0.000997183,0.000997183,0.00118135
4,79.5384,1.74709,3.45392,1.5091,0.26487,0.11709,0.06295,0.03456,1.8041,3.31599,1.54564,0.000997803,0.000997803,0.000997803
5,98.1879,1.72774,3.28403,1.48531,0.30948,0.1342,0.08496,0.04948,1.74768,3.24333,1.51854,0.000996097,0.000996097,0.000996097
6,117.081,1.70414,3.19567,1.47137,0.26713,0.16093,0.09095,0.04935,1.73053,3.2411,1.47397,0.000993906,0.000993906,0.000993906
7,135.404,1.69055,3.15134,1.45826,0.23604,0.14453,0.09733,0.05205,1.72972,2.98272,1.48048,0.000991232,0.000991232,0.000991232
8,154.172,1.68201,3.04907,1.46009,0.26044,0.17799,0.09761,0.05176,1.76781,3.17679,1.51257,0.000988079,0.000988079,0.000988079
9,172.855,1.67569,2.98156,1.44231,0.19871,0.17862,0.10106,0.05503,1.72405,3.3136,1.47297,0.000984449,0.000984449,0.000984449
10,191.427,1.64986,2.90587,1.43102,0.17994,0.20637,0.12348,0.06968,1.69101,2.84534,1.45076,0.000980345,0.000980345,0.000980345
11,210.148,1.63611,2.85607,1.4171,0.20722,0.23094,0.14603,0.08379,1.68895,2.74323,1.45577,0.000975773,0.000975773,0.000975773
12,228.538,1.63902,2.83185,1.41524,0.27323,0.21954,0.15462,0.08783,1.68954,2.79081,1.44178,0.000970736,0.000970736,0.000970736
13,246.921,1.62377,2.75321,1.41229,0.22783,0.2412,0.15408,0.08738,1.66949,2.78015,1.44482,0.000965239,0.000965239,0.000965239
14,265.427,1.60659,2.69518,1.39966,0.31374,0.18925,0.14414,0.08033,1.68004,2.83613,1.44545,0.000959289,0.000959289,0.000959289
15,283.62,1.59843,2.67145,1.39455,0.24891,0.23039,0.16586,0.09455,1.6857,2.73801,1.45847,0.000952889,0.000952889,0.000952889
16,302.046,1.62302,2.6572,1.39768,0.24419,0.25544,0.16093,0.08949,1.66458,2.70076,1.42161,0.000946048,0.000946048,0.000946048
17,320.178,1.60102,2.579,1.38541,0.30778,0.24894,0.18752,0.10762,1.64506,2.61363,1.41246,0.000938772,0.000938772,0.000938772
18,338.549,1.58883,2.60206,1.38545,0.23464,0.2924,0.19438,0.11326,1.64576,2.61985,1.40971,0.000931067,0.000931067,0.000931067
19,356.871,1.58123,2.56509,1.37297,0.33627,0.22322,0.17054,0.09789,1.6646,2.8314,1.44353,0.000922942,0.000922942,0.000922942
20,375.253,1.57314,2.51595,1.36905,0.31223,0.25063,0.18799,0.10803,1.65438,2.66475,1.41426,0.000914405,0.000914405,0.000914405
21,393.514,1.57348,2.52531,1.37469,0.27685,0.25099,0.17361,0.0986,1.65934,2.79268,1.39677,0.000905463,0.000905463,0.000905463
22,411.629,1.56721,2.47735,1.36315,0.37028,0.23104,0.18868,0.11294,1.65193,2.64901,1.42681,0.000896127,0.000896127,0.000896127
23,430.168,1.56278,2.45456,1.36085,0.30647,0.26996,0.21116,0.12305,1.63318,2.59752,1.39124,0.000886404,0.000886404,0.000886404
