epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7919,1.76433,4.58659,1.48904,0.33898,0.06805,0.01888,0.00934,1.80595,4.35842,1.55621,0.000331492,0.000331492,0.0671823
2,47.2876,1.74953,3.9408,1.48572,0.23186,0.09851,0.04177,0.02334,1.79232,3.76772,1.56792,0.000664663,0.000664663,0.0341822
3,68.4033,1.76905,3.61651,1.50197,0.20985,0.11861,0.05668,0.03029,1.79539,3.34274,1.55766,0.000997183,0.000997183,0.00118135
4,89.9173,1.74729,3.45861,1.50695,0.24851,0.1199,0.07544,0.04238,1.78851,3.21629,1.5118,0.000997803,0.000997803,0.000997803
5,110.073,1.72409,3.25262,1.47961,0.30146,0.16244,0.09838,0.05854,1.74085,3.09303,1.50924,0.000996097,0.000996097,0.000996097
6,131.6,1.7013,3.19286,1.47422,0.26062,0.18082,0.09234,0.04881,1.71667,3.12258,1.49322,0.000993906,0.000993906,0.000993906
7,152.726,1.68791,3.13018,1.45291,0.21143,0.16678,0.10989,0.06041,1.72935,2.93693,1.47256,0.000991232,0.000991232,0.000991232
8,173.57,1.67584,3.03943,1.4445,0.32849,0.17208,0.10419,0.05676,1.7142,3.10235,1.4858,0.000988079,0.000988079,0.000988079
9,195.491,1.66745,2.96879,1.44113,0.22225,0.20214,0.12596,0.07104,1.69855,2.97107,1.44445,0.000984449,0.000984449,0.000984449
10,215.759,1.64241,2.90799,1.42402,0.16482,0.19751,0.1155,0.06289,1.67924,2.93504,1.44719,0.000980345,0.000980345,0.000980345
11,237.411,1.63213,2.85677,1.41574,0.24869,0.21654,0.15234,0.0864,1.68596,2.71233,1.44553,0.000975773,0.000975773,0.000975773
12,258.042,1.63551,2.82197,1.40778,0.28894,0.21288,0.15419,0.08552,1.68511,2.7224,1.44825,0.000970736,0.000970736,0.000970736
13,279.206,1.62493,2.74362,1.40952,0.2308,0.24038,0.16541,0.08986,1.68111,2.6689,1.43637,0.000965239,0.000965239,0.000965239
14,300.223,1.60684,2.67447,1.39437,0.23274,0.24047,0.15718,0.08692,1.67972,2.80271,1.42705,0.000959289,0.000959289,0.000959289
15,321.817,1.60064,2.678,1.3944,0.32554,0.2096,0.16819,0.09358,1.6789,2.72535,1.4583,0.000952889,0.000952889,0.000952889
16,342.568,1.61612,2.64296,1.39601,0.27757,0.22885,0.16858,0.09508,1.67025,2.65397,1.43047,0.000946048,0.000946048,0.000946048
17,363.99,1.59922,2.56854,1.3842,0.25251,0.26027,0.16978,0.09638,1.64208,2.61405,1.41562,0.000938772,0.000938772,0.000938772
