epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.48614483,5.20156016,0.42234974,0.14190344,0.0,0.0,0.0,0.56389763,0.0180998,0.0
2,0.0002997040092642407,0,5.23021535,5.01749407,0.24283986,0.11817991,0.0,0.0,0.0,0.50428649,0.01319797,0.0
3,0.0002988172051971717,0,5.01388028,4.84039085,0.13695554,0.10342611,0.0,0.0,0.0,0.48164434,0.01099367,0.0
4,0.0002973430876093033,0,4.87875333,4.72745097,0.079009,0.09278793,0.0,0.0,0.0,0.46743322,0.0097503,0.0
5,0.00029528747416929463,0,4.77328106,4.63527282,0.04755386,0.08306785,0.0,0.0,0.0,0.45654846,0.00865451,0.0
6,0.00029265847744427303,1,4.73212588,4.5794882,0.03086611,0.07819871,0.19112918,0.19031981,0.00404684,0.44766031,0.00781606,0.01678798
7,0.0002894664728832377,1,4.67261341,4.52747622,0.0209742,0.07289151,0.17790434,0.17707499,0.00414676,0.44085905,0.00722321,0.01233555
8,0.000285724057869903,1,4.62548069,4.48510663,0.01487197,0.06764708,0.1698027,0.16892763,0.00437533,0.43625595,0.00671415,0.01048207
9,0.00028144600200657956,1,4.59267781,4.45580242,0.011158,0.0647787,0.16282582,0.16189115,0.00467336,0.43180547,0.006303,0.00935364
10,0.0002766491888253023,1,4.55660692,4.42227331,0.00859715,0.06158689,0.15864418,0.15764625,0.00498965,0.42848858,0.00579125,0.00870261
11,0.00027135254915624217,1,4.52535789,4.39296083,0.00685972,0.0588353,0.15570133,0.1546422,0.00529569,0.42592364,0.00544374,0.00793987
12,0.0002655769864163684,1,4.50191284,4.37141266,0.0055052,0.05541516,0.15323439,0.15212858,0.00552904,0.42289493,0.00507073,0.00749656
13,0.0002593452941132117,1,4.48606529,4.35688999,0.00458221,0.05336438,0.15118718,0.15003405,0.00576564,0.42094773,0.00476798,0.00696704
14,0.0002526820658893033,1,4.46427823,4.33621318,0.00386429,0.05180594,0.14970844,0.14851731,0.00595562,0.41883067,0.00472649,0.00668852
15,0.0002456135984623034,1,4.44903245,4.32190123,0.00332732,0.0499129,0.14791427,0.14669294,0.00610667,0.41765253,0.00455047,0.00627301
16,0.00023816778784387096,1,4.43069153,4.30454494,0.00287492,0.04809142,0.14704432,0.14580417,0.00620072,0.41575983,0.0042022,0.00600099
17,0.00023037401924684944,1,4.41866062,4.29329696,0.00256618,0.04709045,0.14577897,0.1445217,0.00628632,0.41402749,0.00414961,0.00588757
18,0.00022226305111525726,1,4.40372291,4.27891387,0.00226374,0.04580511,0.1458164,0.14455475,0.00630826,0.41291874,0.00396144,0.00571918
19,0.00021386689373476087,1,4.39284277,4.26866201,0.00202167,0.04458523,0.14513431,0.14387896,0.00627671,0.41171016,0.00377982,0.00553902
20,0.00020521868290270169,1,4.38099739,4.25746134,0.00180684,0.04288213,0.14534933,0.14410882,0.00620254,0.41019014,0.00365922,0.00537219
21,0.00019635254915624208,1,4.37184574,4.24876423,0.00167055,0.04222187,0.14510925,0.14388494,0.00612152,0.40915024,0.00352052,0.00515819
22,0.00018730348307472816,1,4.36395362,4.24138995,0.00151847,0.04128489,0.14531013,0.14410535,0.0060239,0.40767326,0.0034104,0.00509386
23,0.00017810719718785867,1,4.35381478,4.23137466,0.00139985,0.04101469,0.14623792,0.1450582,0.00589864,0.40725657,0.00335605,0.0048871
24,0.00016879998503464564,1,4.3447968,4.22269702,0.00129269,0.04019982,0.14604594,0.14488675,0.00579599,0.40653851,0.00321109,0.00485557
25,0.000159418577929397,1,4.33870763,4.21714786,0.00118058,0.03877543,0.14573884,0.14460349,0.00567675,0.40539546,0.00313022,0.00467892
26,0.00015,1,4.32576223,4.20438606,0.00111477,0.03858135,0.1467752,0.14565533,0.00559934,0.4044566,0.00306303,0.00466237
