epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.28750868,5.16995658,0.39184034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0002997040092642407,0,5.0630499,4.99090789,0.24047335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0002988172051971717,0,4.87335192,4.82966735,0.14561529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0002973430876093033,0,4.74142786,4.71361997,0.09269299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.00029528747416929463,0,4.65208929,4.63317683,0.06304155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.00029265847744427303,0,4.58681477,4.57283442,0.04660117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0002894664728832377,0,4.53798998,4.52729543,0.0356485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.000285724057869903,0,4.49439517,4.48574853,0.02882209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.00028144600200657956,0,4.45935175,4.45209097,0.02420262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0002766491888253023,0,4.43077117,4.42464092,0.02043419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.00027135254915624217,0,4.40625747,4.40091819,0.01779758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0002655769864163684,0,4.38252342,4.37780967,0.01571252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0002593452941132117,0,4.36114015,4.35697657,0.01387859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0002526820658893033,0,4.34629166,4.34252125,0.01256803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0002456135984623034,0,4.32893819,4.32554497,0.01131069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.00023816778784387096,0,4.31218565,4.30911011,0.01025178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.00023037401924684944,0,4.30002684,4.29716732,0.00953174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.00022226305111525726,0,4.28598832,4.28341147,0.00858954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.00021386689373476087,0,4.27595844,4.27354734,0.008037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.00020521868290270169,0,4.26500193,4.26278009,0.00740619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.00019635254915624208,0,4.254676,4.25261561,0.006868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.00018730348307472816,0,4.24530076,4.24337373,0.00642347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.00017810719718785867,0,4.23367301,4.23189757,0.00591812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.00016879998503464564,0,4.22276288,4.22111807,0.00548273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.000159418577929397,0,4.21692259,4.21533866,0.00527978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.00015,0,4.2092633,4.20779389,0.00489801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.000140581422070603,0,4.20026099,4.19887351,0.00462494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.00013120001496535436,0,4.1985719,4.19726516,0.0043558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0001218928028121413,0,4.19067932,4.18945171,0.00409207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.00011269651692527177,0,4.18300983,4.18182878,0.00393679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.00010364745084375793,0,4.18030742,4.17920773,0.00366564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,9.478131709729836e-05,0,4.17419282,4.17314137,0.00350483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8.61331062652391e-05,0,4.16749602,4.16650469,0.00330441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,7.773694888474269e-05,0,4.1653745,4.16442731,0.00315726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,6.962598075315047e-05,0,4.15877738,4.15786933,0.00302685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6.183221215612905e-05,0,4.15153204,4.15066025,0.00290598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,5.438640153769654e-05,0,4.14891021,4.14808021,0.00276668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,4.73179341106967e-05,0,4.14544754,4.14466783,0.00259903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,4.0654705886788306e-05,0,4.14251115,4.1417528,0.00252781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3.4423013583631635e-05,0,4.13918842,4.13847015,0.00239425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2.86474508437579e-05,0,4.13351063,4.13281763,0.00231004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2.3350811174697774e-05,0,4.13545947,4.13479456,0.00221637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.8553997993420465e-05,0,4.13142431,4.13077019,0.00218044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.42759421300971e-05,0,4.13295557,4.13232248,0.00211033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.05335271167623e-05,0,4.12694773,4.12634002,0.0020257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,7.341522555726972e-06,0,4.12598655,4.12541218,0.00191455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,4.712525830705356e-06,0,4.12434679,4.12378363,0.00187719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2.656912390696692e-06,0,4.12417289,4.12363034,0.00180852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.1827948028283352e-06,0,4.12516074,4.1246341,0.00175549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2.9599073575926616e-07,0,4.12233211,4.12182506,0.00169015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
