epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6975,1.76213,2.32968,1.51801,0.37282,0.26813,0.22859,0.10429,1.87425,2.40374,1.54228,0.000331373,0.000331373,0.0671941
2,49.8304,1.73701,2.07736,1.48764,0.30834,0.28499,0.2105,0.09748,1.8528,2.27682,1.54162,0.000664544,0.000664544,0.034194
3,72.2135,1.73018,2.04665,1.48471,0.31282,0.32298,0.23118,0.10302,1.83984,2.10416,1.53133,0.000997064,0.000997064,0.00119314
4,94.6808,1.74447,1.99871,1.4818,0.35118,0.36718,0.29048,0.13669,1.71044,2.06056,1.48657,0.000997803,0.000997803,0.000997803
5,117.047,1.70768,1.98806,1.48217,0.36565,0.34755,0.29395,0.13817,1.74974,2.01342,1.50438,0.000996097,0.000996097,0.000996097
6,139.783,1.69193,1.9417,1.4672,0.34169,0.34885,0.26206,0.12043,1.72685,2.30956,1.47075,0.000993906,0.000993906,0.000993906
7,162.397,1.67514,1.92572,1.45072,0.37566,0.3448,0.29094,0.13735,1.76832,2.00032,1.50303,0.000991232,0.000991232,0.000991232
8,184.644,1.65489,1.91734,1.44826,0.36395,0.34244,0.28458,0.1347,1.74303,1.98651,1.52033,0.000988079,0.000988079,0.000988079
9,206.99,1.65599,1.88015,1.44256,0.38393,0.37843,0.31891,0.15145,1.67217,2.07036,1.42771,0.000984449,0.000984449,0.000984449
10,229.253,1.62749,1.83119,1.41221,0.39288,0.35286,0.30691,0.14747,1.69963,1.91428,1.45541,0.000980345,0.000980345,0.000980345
11,251.463,1.62223,1.83965,1.41041,0.40948,0.37389,0.32661,0.16115,1.6983,1.86528,1.45213,0.000975773,0.000975773,0.000975773
12,273.632,1.61932,1.82353,1.4101,0.38878,0.36819,0.32104,0.16001,1.68553,1.91877,1.45683,0.000970736,0.000970736,0.000970736
13,295.779,1.61066,1.79619,1.40336,0.41904,0.37263,0.33471,0.1637,1.69298,1.84537,1.43329,0.000965239,0.000965239,0.000965239
14,317.869,1.60055,1.79074,1.39018,0.40749,0.38195,0.33501,0.16419,1.65814,1.87614,1.42472,0.000959289,0.000959289,0.000959289
15,340.029,1.59204,1.76279,1.40543,0.38417,0.34244,0.29571,0.14997,1.66132,1.87871,1.43455,0.000952889,0.000952889,0.000952889
16,362.505,1.59295,1.772,1.39651,0.39345,0.38228,0.33343,0.16767,1.65982,1.80215,1.41873,0.000946048,0.000946048,0.000946048
17,385.008,1.57599,1.75487,1.38869,0.40729,0.39296,0.34185,0.17269,1.66643,1.79614,1.43629,0.000938772,0.000938772,0.000938772
18,407.623,1.58269,1.73961,1.37488,0.40172,0.37095,0.32832,0.16213,1.647,1.89318,1.41814,0.000931067,0.000931067,0.000931067
19,429.983,1.557,1.71716,1.36994,0.428,0.39237,0.3554,0.18008,1.61187,1.79614,1.37191,0.000922942,0.000922942,0.000922942
20,452.422,1.56955,1.73084,1.37605,0.43186,0.39788,0.3581,0.18091,1.63093,1.81814,1.38877,0.000914405,0.000914405,0.000914405
21,469.804,1.55214,1.69517,1.36497,0.4197,0.39624,0.35525,0.18179,1.6197,1.7758,1.39614,0.000905463,0.000905463,0.000905463
22,491.818,1.55374,1.70057,1.3607,0.40831,0.37527,0.33721,0.17017,1.62079,1.81948,1.39564,0.000896127,0.000896127,0.000896127
23,513.928,1.53649,1.67979,1.35976,0.40601,0.40201,0.34524,0.17404,1.64345,1.7714,1.39783,0.000886404,0.000886404,0.000886404
24,536.061,1.52891,1.6657,1.34922,0.459,0.39494,0.36856,0.18835,1.61669,1.72452,1.38816,0.000876305,0.000876305,0.000876305
25,558.144,1.53361,1.66806,1.36128,0.41737,0.42324,0.37014,0.18116,1.64434,1.74257,1.39178,0.000865839,0.000865839,0.000865839
