epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5554,1.82147,2.36649,1.55811,0.23816,0.25988,0.15575,0.06534,1.94096,2.43341,1.53744,0.000331373,0.000331373,0.0671941
2,35.1804,1.75331,2.08242,1.50649,0.27236,0.26794,0.17685,0.07886,1.8554,2.43244,1.66117,0.000664544,0.000664544,0.034194
3,49.6608,1.7376,2.05216,1.49877,0.26381,0.31217,0.21233,0.09572,1.82454,2.11528,1.5316,0.000997064,0.000997064,0.00119314
4,64.4207,1.75585,1.99081,1.48999,0.36004,0.36996,0.28472,0.13028,1.7583,2.00772,1.46169,0.000997803,0.000997803,0.000997803
5,79.1768,1.71705,1.97515,1.46836,0.36867,0.34401,0.28898,0.12937,1.76409,2.04477,1.50968,0.000996097,0.000996097,0.000996097
6,93.3532,1.70276,1.93915,1.45648,0.3187,0.33222,0.25052,0.11609,1.75231,2.12017,1.51379,0.000993906,0.000993906,0.000993906
7,108.239,1.67874,1.9118,1.44847,0.37061,0.33399,0.27897,0.13056,1.76318,2.15121,1.46673,0.000991232,0.000991232,0.000991232
8,123.13,1.65655,1.89306,1.44973,0.41065,0.36564,0.33337,0.1579,1.70915,1.88388,1.46481,0.000988079,0.000988079,0.000988079
9,138.659,1.6535,1.84949,1.43271,0.38416,0.36505,0.30623,0.15061,1.67159,2.00438,1.4277,0.000984449,0.000984449,0.000984449
10,153.662,1.61863,1.81431,1.40014,0.38954,0.35542,0.31114,0.14905,1.6936,1.91388,1.44531,0.000980345,0.000980345,0.000980345
11,168.343,1.61857,1.81072,1.4064,0.40799,0.3851,0.33291,0.1615,1.67321,1.92008,1.42009,0.000975773,0.000975773,0.000975773
12,183.205,1.61998,1.81524,1.40678,0.40287,0.35168,0.32041,0.15968,1.67994,1.88391,1.45238,0.000970736,0.000970736,0.000970736
13,197.771,1.60905,1.78539,1.40095,0.40912,0.37448,0.33054,0.16418,1.70126,1.84518,1.43196,0.000965239,0.000965239,0.000965239
14,212.554,1.60114,1.76903,1.39027,0.39358,0.3796,0.33292,0.16535,1.65681,1.84921,1.41178,0.000959289,0.000959289,0.000959289
15,226.205,1.59211,1.7525,1.39874,0.36655,0.34598,0.29194,0.14565,1.67965,1.91912,1.44814,0.000952889,0.000952889,0.000952889
16,241.148,1.58937,1.75734,1.38757,0.38468,0.35246,0.31366,0.15675,1.67623,1.87149,1.45694,0.000946048,0.000946048,0.000946048
17,255.861,1.57618,1.74336,1.3903,0.41212,0.391,0.34002,0.16897,1.65666,1.85159,1.40922,0.000938772,0.000938772,0.000938772
18,270.672,1.57529,1.72431,1.37222,0.41372,0.3965,0.35818,0.17696,1.62755,1.82555,1.40724,0.000931067,0.000931067,0.000931067
