epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6325,1.80699,2.36198,1.5494,0.31308,0.27678,0.21224,0.09375,1.91943,2.21768,1.56055,0.000331373,0.000331373,0.0671941
2,44.2753,1.75049,2.08429,1.50093,0.35311,0.31413,0.24825,0.11221,1.83035,2.12709,1.54056,0.000664544,0.000664544,0.034194
3,64.302,1.74114,2.04997,1.4981,0.26561,0.31315,0.20055,0.09059,1.80812,2.17972,1.52249,0.000997064,0.000997064,0.00119314
4,84.1978,1.74789,1.99805,1.47965,0.37871,0.36152,0.30111,0.14321,1.74547,1.95029,1.49738,0.000997803,0.000997803,0.000997803
5,104.248,1.70929,1.96538,1.47735,0.39007,0.34421,0.30488,0.14317,1.71511,2.02831,1.45576,0.000996097,0.000996097,0.000996097
6,126.726,1.68831,1.92867,1.45444,0.34735,0.36289,0.27027,0.12433,1.71462,2.22265,1.46988,0.000993906,0.000993906,0.000993906
7,148.975,1.67159,1.9026,1.44181,0.38994,0.35798,0.31098,0.14951,1.73248,1.9272,1.47415,0.000991232,0.000991232,0.000991232
8,171.229,1.65235,1.89165,1.44016,0.39144,0.34494,0.30275,0.1457,1.70023,1.93062,1.46674,0.000988079,0.000988079,0.000988079
9,193.52,1.65648,1.85515,1.43363,0.40628,0.37988,0.32691,0.16014,1.66897,1.91378,1.42234,0.000984449,0.000984449,0.000984449
10,213.703,1.62285,1.80495,1.40475,0.3766,0.32954,0.27925,0.13867,1.70232,1.99451,1.46915,0.000980345,0.000980345,0.000980345
11,223.823,1.61622,1.81521,1.40407,0.38673,0.3796,0.32224,0.15531,1.70603,1.90584,1.45143,0.000975773,0.000975773,0.000975773
12,245.223,1.61827,1.8061,1.40646,0.41578,0.3794,0.3363,0.1689,1.66084,1.87925,1.44443,0.000970736,0.000970736,0.000970736
13,267.657,1.60671,1.77902,1.39109,0.42823,0.36053,0.33067,0.16106,1.69995,1.88803,1.4218,0.000965239,0.000965239,0.000965239
14,288.979,1.5963,1.76472,1.37875,0.42349,0.37547,0.33425,0.1639,1.6674,1.82738,1.41666,0.000959289,0.000959289,0.000959289
15,309.079,1.57988,1.74221,1.39096,0.39573,0.36227,0.32123,0.16241,1.64781,1.83357,1.42178,0.000952889,0.000952889,0.000952889
16,329.385,1.58949,1.75558,1.38544,0.40027,0.3623,0.32442,0.16515,1.6626,1.81244,1.41962,0.000946048,0.000946048,0.000946048
17,351.511,1.57546,1.74368,1.38241,0.43069,0.39965,0.34792,0.17507,1.63861,1.78075,1.4043,0.000938772,0.000938772,0.000938772
18,372.908,1.57803,1.72145,1.36653,0.42524,0.38648,0.3474,0.17263,1.64353,1.84389,1.40058,0.000931067,0.000931067,0.000931067
19,395.13,1.55151,1.69591,1.35867,0.41749,0.39375,0.34739,0.17936,1.60585,1.79555,1.38266,0.000922942,0.000922942,0.000922942
20,417.81,1.56166,1.70657,1.36446,0.42926,0.39061,0.35348,0.17895,1.63766,1.7963,1.39502,0.000914405,0.000914405,0.000914405
21,440.111,1.54587,1.67461,1.35629,0.41277,0.37979,0.34017,0.17297,1.63927,1.83202,1.41833,0.000905463,0.000905463,0.000905463
22,461.046,1.54396,1.68159,1.34873,0.41271,0.38471,0.3403,0.17308,1.62777,1.79709,1.40109,0.000896127,0.000896127,0.000896127
23,478.307,1.53172,1.65761,1.35325,0.4144,0.40675,0.35499,0.18025,1.6218,1.74918,1.39064,0.000886404,0.000886404,0.000886404
24,496.062,1.53133,1.64038,1.34363,0.44481,0.4081,0.36699,0.18235,1.63247,1.75413,1.38127,0.000876305,0.000876305,0.000876305
25,513.979,1.53052,1.63585,1.35552,0.41294,0.40928,0.35885,0.17319,1.65306,1.77263,1.41475,0.000865839,0.000865839,0.000865839
26,531.675,1.51446,1.63117,1.33532,0.43542,0.40574,0.3643,0.18649,1.61984,1.74027,1.40193,0.000855018,0.000855018,0.000855018
27,546.565,1.50787,1.60886,1.33428,0.45433,0.41636,0.38398,0.19558,1.60009,1.70899,1.37926,0.000843851,0.000843851,0.000843851
28,561.749,1.49112,1.59178,1.32724,0.41787,0.38311,0.35608,0.18312,1.59723,1.76997,1.38471,0.000832349,0.000832349,0.000832349
29,576.472,1.49352,1.59577,1.32908,0.42704,0.40535,0.35711,0.18428,1.60022,1.77426,1.37771,0.000820525,0.000820525,0.000820525
30,591.48,1.50251,1.58048,1.3275,0.44641,0.39237,0.36405,0.18879,1.59938,1.74549,1.38125,0.000808389,0.000808389,0.000808389
31,607.239,1.48966,1.57644,1.32304,0.42468,0.41182,0.35321,0.17896,1.60484,1.73868,1.37687,0.000795954,0.000795954,0.000795954
32,622.515,1.49176,1.57485,1.31916,0.45312,0.40731,0.37731,0.19513,1.60973,1.73267,1.38562,0.000783231,0.000783231,0.000783231
33,637.49,1.47556,1.52693,1.29901,0.42452,0.42088,0.36973,0.18998,1.59605,1.71121,1.36026,0.000770234,0.000770234,0.000770234
34,649.92,1.48215,1.54359,1.31059,0.42984,0.4074,0.37234,0.19154,1.59076,1.71738,1.38168,0.000756976,0.000756976,0.000756976
35,660.138,1.47082,1.5335,1.31005,0.44148,0.42343,0.38553,0.19744,1.58317,1.68813,1.36219,0.000743468,0.000743468,0.000743468
36,670.394,1.45886,1.50993,1.29418,0.44556,0.41223,0.37224,0.18882,1.59857,1.70608,1.37195,0.000729725,0.000729725,0.000729725
37,680.625,1.45493,1.49755,1.29476,0.44892,0.42517,0.38763,0.20077,1.57144,1.69334,1.36274,0.000715761,0.000715761,0.000715761
