epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,6.1305538,5.74935921,0.53182741,0.34737511,0,0,0,0.72850634,0.03188182,0
2,0.000299704,0,5.99419712,5.67980623,0.41676641,0.32695827,0,0,0,0.6146801,0.01996776,0
3,0.000298817,0,5.95172278,5.6750544,0.33873324,0.31093022,0,0,0,0.56544412,0.01729545,0
4,0.000297343,0,5.80184238,5.55555573,0.26941167,0.28806442,0,0,0,0.53732531,0.01550281,0
5,0.000295287,0,5.64356104,5.42143572,0.21260746,0.27098362,0,0,0,0.51661208,0.01394479,0
6,0.000292658,1,5.53761989,5.30830871,0.16566575,0.25236392,0.24940479,0.24669087,0.01356959,0.50167016,0.012432,0.01076115
7,0.000289466,1,5.43958483,5.22397477,0.13089721,0.23961337,0.25058739,0.24784876,0.01369317,0.49321192,0.01200156,0.0110879
8,0.000285724,1,5.35674967,5.1526725,0.10415226,0.23068301,0.24747097,0.24475205,0.01359461,0.48402692,0.01081165,0.01193804
9,0.000281446,1,5.27027635,5.07709977,0.08252524,0.21503975,0.24181397,0.23908167,0.01366151,0.47502651,0.01013354,0.01228478
10,0.000276649,1,5.210315,5.02586587,0.06655433,0.20683013,0.23546319,0.23272049,0.0137135,0.46470617,0.00967287,0.01313023
11,0.000271353,1,5.1605443,4.98259488,0.05396398,0.19615085,0.23694933,0.23417047,0.01389432,0.45742292,0.00922051,0.01355678
12,0.000265577,1,5.11998961,4.94698601,0.04486899,0.19223918,0.23405711,0.23124821,0.01404448,0.4514009,0.00864366,0.01383237
13,0.000259345,1,5.08444112,4.91687299,0.03659228,0.17863806,0.2339382,0.23109184,0.0142318,0.44526887,0.0083228,0.01383602
14,0.000252682,1,5.02846783,4.86486637,0.03136717,0.17180444,0.22927858,0.22636307,0.01457755,0.44012617,0.00781134,0.01439931
15,0.000245614,1,4.98266759,4.82298581,0.02654566,0.16610659,0.22530454,0.22239581,0.01454365,0.43404015,0.00749774,0.01471112
16,0.000238168,1,4.96733035,4.8095604,0.02344072,0.16702334,0.22541795,0.22241294,0.01502508,0.42961775,0.00726075,0.0149999
17,0.000230374,1,4.9373293,4.7820097,0.0202447,0.1592143,0.22611542,0.22308391,0.01515754,0.42634804,0.00705459,0.01533997
18,0.000222263,1,4.90425621,4.75181145,0.01745669,0.15235046,0.22460325,0.2215335,0.0153488,0.42141549,0.00687494,0.01563596
19,0.000213867,1,4.88904791,4.73813337,0.01544225,0.14939952,0.22469239,0.22156301,0.01564687,0.41890253,0.00656599,0.01581054
20,0.000205219,1,4.8511822,4.70243923,0.01381834,0.14504781,0.22000691,0.21686034,0.01573283,0.41587723,0.00613565,0.01601171
21,0.000196353,1,4.82591599,4.67805306,0.01230356,0.14410986,0.2241328,0.22094375,0.01594524,0.41267501,0.00597405,0.01641363
22,0.000187303,1,4.8142784,4.66770037,0.0111964,0.14635563,0.22102273,0.21780776,0.01607485,0.4093938,0.00592645,0.01621943
23,0.000178107,1,4.80330898,4.65789789,0.01041958,0.14159449,0.22117081,0.21788836,0.01641225,0.40715484,0.00607143,0.01654624
24,0.0001688,1,4.7803224,4.6365794,0.00928466,0.13419975,0.22053967,0.2172004,0.01669633,0.40519631,0.00567864,0.01666386
25,0.000159419,1,4.76013485,4.61752091,0.00849114,0.13359029,0.2205898,0.21723327,0.01678266,0.40200119,0.00542125,0.01667559
26,0.00015,1,4.74875587,4.60782275,0.00757471,0.12846163,0.21977587,0.21640927,0.01683303,0.39856761,0.00530664,0.01699541
27,0.000140581,1,4.73376545,4.59317659,0.00698233,0.12900583,0.21956503,0.2161686,0.01698215,0.39776485,0.0050452,0.01719575
28,0.0001312,1,4.73259801,4.59268602,0.00666162,0.12768674,0.22064568,0.21722323,0.01711221,0.39555356,0.00499703,0.01721168
29,0.000121893,1,4.72048335,4.58175278,0.00611011,0.12321589,0.21914595,0.21570668,0.01719636,0.39390342,0.00487347,0.01727235
30,0.000112697,1,4.69639177,4.55758479,0.00582364,0.12674233,0.21986687,0.2163857,0.01740586,0.39258225,0.00483904,0.01763781
31,0.000103647,1,4.68610365,4.54799743,0.00557965,0.1244875,0.22098165,0.21746762,0.01757014,0.39053881,0.00475926,0.01768401
32,9.478131709729836e-05,1,4.67937723,4.54226012,0.00513031,0.12114232,0.2191973,0.21567229,0.01762506,0.38896614,0.00469355,0.01799251
33,8.61331062652391e-05,1,4.66504913,4.52851812,0.00483114,0.11989847,0.22108759,0.21752636,0.01780616,0.38691168,0.00464542,0.01779195
34,7.773694888474269e-05,1,4.66003716,4.52332219,0.00471932,0.12528407,0.220242,0.21666603,0.01787985,0.38594978,0.00467546,0.01778919
35,6.962598075315047e-05,1,4.65000022,4.51412932,0.00433938,0.11948675,0.22042614,0.21684326,0.01791439,0.38558397,0.00447385,0.01755358
36,6.183221215612905e-05,1,4.6486385,4.51339962,0.00415136,0.11902989,0.21827235,0.214679,0.01796677,0.38422828,0.00435406,0.01776525
37,5.438640153769654e-05,1,4.62917362,4.49421478,0.00397668,0.11743436,0.22102769,0.21740203,0.0181283,0.38276666,0.00428841,0.01792342
38,4.73179341106967e-05,1,4.62995292,4.49554403,0.00371093,0.11335961,0.22091682,0.21727007,0.01823377,0.38254494,0.00421202,0.01799954
39,4.0654705886788306e-05,1,4.61382316,4.47954853,0.00359432,0.11789061,0.22035308,0.21669618,0.0182845,0.38049604,0.00403011,0.01821725
40,3.4423013583631635e-05,1,4.60895073,4.4746413,0.00345463,0.11571069,0.22174724,0.21807434,0.01836447,0.38093357,0.00422172,0.01830322
41,2.86474508437579e-05,1,4.59770927,4.46383712,0.00328336,0.11330791,0.22194932,0.21826446,0.01842433,0.38041643,0.00409842,0.01821275
42,2.3350811174697774e-05,1,4.60785631,4.47467774,0.0032025,0.11329531,0.21945081,0.2157425,0.01854159,0.37884135,0.00397082,0.01818623
