epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.9358536,5.74867638,0.50030186,0.37086678,0,0,0,0,0,0
2,0.000299704,0,5.85593358,5.70148671,0.39678563,0.35411218,0,0,0,0,0,0
3,0.000298817,0,5.81507245,5.68251738,0.32737314,0.34343133,0,0,0,0,0,0
4,0.000297343,0,5.67164798,5.55931005,0.26569195,0.32630374,0,0,0,0,0,0
5,0.000295287,0,5.52250532,5.4265154,0.21422104,0.31723604,0,0,0,0,0,0
6,0.000292658,1,5.4195715,5.31685359,0.17158504,0.30098142,0.21144252,0.20882554,0.01308494,0,0,0
7,0.000289466,1,5.31852232,5.22610308,0.13984079,0.28879351,0.21587658,0.21299601,0.01440285,0,0,0
8,0.000285724,1,5.24190283,5.15803742,0.11488045,0.28133395,0.21267873,0.20982355,0.01427587,0,0,0
9,0.000281446,1,5.15565258,5.08006665,0.09421076,0.26512749,0.2080998,0.2051645,0.0146765,0,0,0
10,0.000276649,1,5.09954224,5.0301,0.07834584,0.25600662,0.20337817,0.20041962,0.01479272,0,0,0
11,0.000271353,1,5.05809839,4.9934223,0.0660201,0.24249275,0.20620808,0.20312029,0.01543896,0,0,0
12,0.000265577,1,5.00996557,4.94926698,0.0566772,0.23467832,0.20227569,0.19909965,0.01588017,0,0,0
13,0.000259345,1,4.98149154,4.92443594,0.04822648,0.22262917,0.2032474,0.20000816,0.01619619,0,0,0
14,0.000252682,1,4.92369565,4.86949809,0.04281306,0.21385296,0.19968332,0.19634196,0.01670678,0,0,0
15,0.000245614,1,4.88313865,4.83188647,0.03716012,0.20372376,0.19731729,0.19390579,0.0170575,0,0,0
16,0.000238168,1,4.8702913,4.8199546,0.03425194,0.20172664,0.19888469,0.19531789,0.017834,0,0,0
17,0.000230374,1,4.83362349,4.78566252,0.030174,0.18975524,0.19933201,0.19564534,0.01843337,0,0,0
18,0.000222263,1,4.81020302,4.76399873,0.02707575,0.18248121,0.19833472,0.19460061,0.01867057,0,0,0
19,0.000213867,1,4.78977855,4.74518399,0.02439333,0.17367077,0.19909409,0.19522953,0.01932282,0,0,0
20,0.000205219,1,4.75604445,4.71264895,0.02257121,0.1696846,0.19655675,0.19260695,0.01974903,0,0,0
21,0.000196353,1,4.72366006,4.68149508,0.02035098,0.16189215,0.19870502,0.19470143,0.02001796,0,0,0
22,0.000187303,1,4.71791858,4.67659794,0.01913686,0.15823246,0.19756291,0.19349291,0.02035002,0,0,0
23,0.000178107,1,4.70184674,4.66122442,0.01795366,0.15399166,0.19837045,0.19416596,0.02102244,0,0,0
24,0.0001688,1,4.68426343,4.64508945,0.01638848,0.14505751,0.19751684,0.19322301,0.02146912,0,0,0
25,0.000159419,1,4.65935078,4.62085677,0.0152904,0.14136842,0.19770061,0.19340271,0.0214895,0,0,0
26,0.00015,1,4.65039593,4.61322019,0.0139669,0.1324642,0.19739274,0.19302878,0.02181982,0,0,0
27,0.000140581,1,4.63385694,4.59728555,0.01316685,0.1286305,0.19758297,0.19318139,0.02200789,0,0,0
28,0.0001312,1,4.6369141,4.60055044,0.01259252,0.12648291,0.19937581,0.19489838,0.02238712,0,0,0
29,0.000121893,1,4.62037556,4.58513082,0.01142763,0.11992419,0.19824014,0.19374964,0.0224525,0,0,0
30,0.000112697,1,4.60106454,4.56592742,0.01130999,0.11834179,0.19909973,0.19449466,0.02302531,0,0,0
31,0.000103647,1,4.58827131,4.55358632,0.01086448,0.11551166,0.19874467,0.19407018,0.02337241,0,0,0
32,9.478131709729836e-05,1,4.58563398,4.55157274,0.01002901,0.11186691,0.19865857,0.19393515,0.02361707,0,0,0
33,8.61331062652391e-05,1,4.56765318,4.53377797,0.00960545,0.10934378,0.20059199,0.19583783,0.0237708,0,0,0
34,7.773694888474269e-05,1,4.56155813,4.5279717,0.00929306,0.10840174,0.19958354,0.19478775,0.02397896,0,0,0
