epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,6.11497364,5.76724888,0.53990451,0.0,0.0,0.0,0.0,0.72350786,0.03250936,0.0
2,0.0002997040092642407,0,6.04024705,5.75784056,0.42418739,0.0,0.0,0.0,0.0,0.60767544,0.02154269,0.0
3,0.0002988172051971717,0,5.98099533,5.73546875,0.3420601,0.0,0.0,0.0,0.0,0.56105274,0.01763549,0.0
4,0.0002973430876093033,0,5.8436812,5.62533575,0.27187473,0.0,0.0,0.0,0.0,0.53764029,0.01581953,0.0
5,0.00029528747416929463,0,5.64454564,5.45011563,0.21349442,0.0,0.0,0.0,0.0,0.51333422,0.01365432,0.0
6,0.00029265847744427303,1,5.55399539,5.36200102,0.16601312,0.0,0.15633711,0.15536153,0.00487789,0.4987942,0.01238789,0.0
7,0.0002894664728832377,1,5.43144726,5.25133634,0.13099236,0.0,0.16992386,0.1686147,0.0065458,0.48844348,0.01139966,0.0
8,0.000285724057869903,1,5.34965198,5.18170125,0.10298144,0.0,0.16636446,0.16497967,0.00692396,0.47518997,0.01081571,0.0
9,0.00028144600200657956,1,5.28859475,5.12918854,0.08213699,0.0,0.17001726,0.16848769,0.00764789,0.46471478,0.01056442,0.0
10,0.0002766491888253023,1,5.21799648,5.06586852,0.06559226,0.0,0.16801843,0.16642944,0.00794495,0.45679617,0.00966268,0.0
11,0.00027135254915624217,1,5.17236675,5.02572407,0.05296092,0.0,0.17062124,0.16893752,0.00841859,0.44935369,0.00902544,0.0
12,0.0002655769864163684,1,5.11238085,4.97005222,0.04379367,0.0,0.17027077,0.16847972,0.00895529,0.44339077,0.00877188,0.0
13,0.0002593452941132117,1,5.06876913,4.92999382,0.03640919,0.0,0.17447282,0.1725624,0.00955213,0.43677232,0.00808145,0.0
14,0.0002526820658893033,1,5.01881213,4.88355904,0.03051892,0.0,0.16934885,0.16734682,0.01001015,0.43192358,0.00787745,0.0
15,0.0002456135984623034,1,4.99446171,4.86196422,0.02567325,0.0,0.17149888,0.16944968,0.01024597,0.42584815,0.00789031,0.0
16,0.00023816778784387096,1,4.96738358,4.83650733,0.02262065,0.0,0.17465363,0.17245175,0.0110094,0.42191021,0.00764784,0.0
17,0.00023037401924684944,1,4.92152252,4.79297357,0.01913697,0.0,0.17176545,0.16952416,0.01120643,0.41826447,0.00710121,0.0
18,0.00022226305111525726,1,4.90467687,4.77733616,0.01671058,0.0,0.17735408,0.17504024,0.01156917,0.41428681,0.00680266,0.0
19,0.00021386689373476087,1,4.88508457,4.75917442,0.01497631,0.0,0.17868633,0.17627868,0.01203826,0.41022894,0.0066093,0.0
20,0.00020521868290270169,1,4.84726697,4.72278738,0.01295427,0.0,0.17812644,0.17566769,0.01229373,0.4072512,0.00645237,0.0
21,0.00019635254915624208,1,4.82830375,4.70510463,0.01178447,0.0,0.17959669,0.17705479,0.0127095,0.40325595,0.00593413,0.0
22,0.00018730348307472816,1,4.79789511,4.67594419,0.01054061,0.0,0.1764252,0.1738558,0.01284699,0.40113745,0.00574581,0.0
23,0.00017810719718785867,1,4.78719824,4.66607585,0.00930388,0.0,0.18027706,0.17765484,0.01311108,0.39782584,0.00564736,0.0
24,0.00016879998503464564,1,4.76955351,4.6493987,0.00874056,0.0,0.18043788,0.17775651,0.01340683,0.39458175,0.00562279,0.0
25,0.000159418577929397,1,4.77216575,4.65246715,0.00814333,0.0,0.18344765,0.18070734,0.01370151,0.39233358,0.00551632,0.0
26,0.00015,1,4.74165404,4.6227719,0.00746014,0.0,0.18349884,0.1806967,0.0140107,0.3899853,0.00531906,0.0
27,0.000140581422070603,1,4.73030027,4.61210293,0.00690781,0.0,0.18560945,0.18276356,0.01422948,0.38715581,0.0051671,0.0
28,0.00013120001496535436,1,4.72870626,4.61081753,0.00652809,0.0,0.18795352,0.18504492,0.014543,0.38548546,0.00509063,0.0
29,0.0001218928028121413,1,4.69754604,4.58069483,0.00596446,0.0,0.18511953,0.18218998,0.01464776,0.3833344,0.0047755,0.0
30,0.00011269651692527177,1,4.69274828,4.57601936,0.00566027,0.0,0.18692348,0.18393264,0.01495423,0.38243066,0.00487215,0.0
31,0.00010364745084375793,1,4.6824661,4.56615066,0.00523891,0.0,0.18971595,0.18670185,0.01507049,0.38026013,0.00471424,0.0
32,9.478131709729836e-05,1,4.67033151,4.55467525,0.00496536,0.0,0.18879866,0.18575098,0.01523838,0.37835655,0.00465055,0.0
33,8.61331062652391e-05,1,4.65523982,4.53975864,0.00460139,0.0,0.19123062,0.18815781,0.01536405,0.37725276,0.00442995,0.0
34,7.773694888474269e-05,1,4.64507416,4.53007828,0.0044646,0.0,0.19144159,0.18829465,0.0157347,0.37535808,0.00448547,0.0
35,6.962598075315047e-05,1,4.63751114,4.52271066,0.00423828,0.0,0.19239697,0.18923791,0.0157953,0.37454274,0.00435729,0.0
36,6.183221215612905e-05,1,4.62776531,4.51344186,0.00406427,0.0,0.19243251,0.18925224,0.01590136,0.37289466,0.00424828,0.0
