epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.91389268,5.76378596,0.50035572,0,0,0,0,0,0,0
2,0.000299704,0,5.87731827,5.75803045,0.39762598,0,0,0,0,0,0,0
3,0.000298817,0,5.82529009,5.72765159,0.32546158,0,0,0,0,0,0,0
4,0.000297343,0,5.700122,5.62098075,0.26380413,0,0,0,0,0,0,0
5,0.000295287,0,5.51119066,5.44772851,0.21154048,0,0,0,0,0,0,0
6,0.000292658,1,5.43493287,5.3682673,0.16907385,0,0.15943414,0.15826572,0.00584212,0,0,0
7,0.000289466,1,5.31154034,5.25326,0.137338,0,0.17078931,0.16927672,0.00756293,0,0,0
8,0.000285724,1,5.23486706,5.18448676,0.11148834,0,0.16933783,0.16769205,0.00822888,0,0,0
9,0.000281446,1,5.17458122,5.1298566,0.09175,0,0.17199602,0.17019511,0.00900455,0,0,0
10,0.000276649,1,5.10864267,5.06884937,0.07609757,0,0.16964002,0.16773694,0.00951541,0,0,0
11,0.000271353,1,5.06092219,5.02453437,0.06401999,0,0.17181836,0.16980148,0.01008442,0,0,0
12,0.000265577,1,5.00373949,4.9698647,0.05551878,0,0.17219156,0.17000969,0.01090932,0,0,0
13,0.000259345,1,4.96459949,4.93273205,0.04765506,0,0.17570943,0.17339213,0.01158651,0,0,0
14,0.000252682,1,4.91058246,4.8811052,0.04161837,0,0.16991715,0.16749678,0.01210184,0,0,0
15,0.000245614,1,4.89633985,4.86820765,0.03625798,0,0.17254782,0.1700136,0.01267113,0,0,0
16,0.000238168,1,4.8660163,4.8385434,0.03302307,0,0.17565983,0.17292107,0.01369381,0,0,0
17,0.000230374,1,4.81649396,4.7905461,0.02900009,0,0.17247861,0.16967489,0.0140186,0,0,0
18,0.000222263,1,4.80408456,4.77839101,0.02616163,0,0.17845074,0.17553587,0.01457433,0,0,0
19,0.000213867,1,4.78537177,4.76016727,0.02435564,0,0.17897818,0.17592211,0.01528031,0,0,0
20,0.000205219,1,4.74683145,4.72244871,0.02177965,0,0.17848844,0.17534561,0.01571415,0,0,0
21,0.000196353,1,4.73046965,4.70642999,0.02030337,0,0.17948634,0.17627154,0.01607399,0,0,0
22,0.000187303,1,4.69678942,4.67353921,0.01858377,0,0.1767511,0.17344422,0.0165344,0,0,0
23,0.000178107,1,4.69048059,4.66730816,0.0170176,0,0.18067128,0.17728868,0.01691302,0,0,0
24,0.0001688,1,4.67024451,4.64727468,0.01647351,0,0.1802778,0.17678784,0.01744978,0,0,0
25,0.000159419,1,4.67594578,4.65300734,0.0153714,0,0.18327006,0.17968349,0.01793286,0,0,0
26,0.00015,1,4.64628572,4.62365198,0.0144532,0,0.18297781,0.17926451,0.01856654,0,0,0
27,0.000140581,1,4.63516596,4.61248196,0.01385525,0,0.18527398,0.18149195,0.0189102,0,0,0
28,0.0001312,1,4.63337426,4.6106695,0.01317787,0,0.18751353,0.18363822,0.01937654,0,0,0
29,0.000121893,1,4.6002903,4.57817978,0.0123318,0,0.18410983,0.18018929,0.0196027,0,0,0
30,0.000112697,1,4.59582533,4.57358453,0.0120237,0,0.18633683,0.18231649,0.02010173,0,0,0
31,0.000103647,1,4.58751873,4.56521438,0.01100522,0,0.19002774,0.18596719,0.02030275,0,0,0
32,9.478131709729836e-05,1,4.57581152,4.55373705,0.01067823,0,0.18871004,0.18457596,0.02067037,0,0,0
33,8.61331062652391e-05,1,4.55980768,4.53770168,0.01000674,0,0.19103961,0.18685854,0.02090531,0,0,0
34,7.773694888474269e-05,1,4.55041894,4.52833053,0.00977438,0,0.19156082,0.18727776,0.0214153,0,0,0
35,6.962598075315047e-05,1,4.5466722,4.5246913,0.00932728,0,0.19182691,0.18750947,0.02158721,0,0,0
36,6.183221215612905e-05,1,4.53660512,4.51465867,0.00898573,0,0.19250722,0.18814166,0.02182781,0,0,0
37,5.438640153769654e-05,1,4.53327953,4.51122754,0.00881912,0,0.19406261,0.18959299,0.02234808,0,0,0
38,4.73179341106967e-05,1,4.51849061,4.49653065,0.0085302,0,0.19400886,0.18951336,0.02247746,0,0,0
39,4.0654705886788306e-05,1,4.51802102,4.49619931,0.00810927,0,0.19388905,0.18932525,0.022819,0,0,0
40,3.4423013583631635e-05,1,4.50843847,4.48638911,0.00784838,0,0.19694839,0.19233039,0.02309004,0,0,0
41,2.86474508437579e-05,1,4.50102673,4.47908778,0.00769815,0,0.19629487,0.19164837,0.02323252,0,0,0
42,2.3350811174697774e-05,1,4.49794728,4.47616739,0.00739171,0,0.1956239,0.19093292,0.02345488,0,0,0
43,1.8553997993420465e-05,1,4.48993003,4.4680193,0.00705887,0,0.19793084,0.193236,0.02347421,0,0,0
44,1.42759421300971e-05,1,4.49939845,4.47706141,0.00713973,0,0.20195111,0.19718992,0.02380593,0,0,0
45,1.05335271167623e-05,1,4.48302155,4.46106477,0.00677485,0,0.19924328,0.19443662,0.0240333,0,0,0
46,7.341522555726972e-06,1,4.4787496,4.45674618,0.00663898,0,0.20011702,0.19529046,0.02413279,0,0,0
47,4.712525830705356e-06,1,4.47777517,4.45583588,0.00647623,0,0.19996423,0.19511502,0.02424605,0,0,0
48,2.656912390696692e-06,1,4.4757137,4.45364754,0.00643246,0,0.20136406,0.19647872,0.0244267,0,0,0
49,1.1827948028283352e-06,1,4.48190673,4.45971966,0.00646947,0,0.20246225,0.19756879,0.0244673,0,0,0
50,2.9599073575926616e-07,1,4.47450274,4.45254231,0.0062202,0,0.20094343,0.19602593,0.02458752,0,0,0
