epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.42206,1.21135,3.2724,1.58919,0.00281,0.65029,0.01154,0.00345,2.80052,4.54896,3.77718,0.0002,0.0002,0.0802
2,6.2027,1.25035,2.37857,1.5456,0.88567,0.07353,0.07449,0.01797,2.79239,3.86064,2.96216,0.0004099,0.0004099,0.0594099
3,8.98868,1.18775,1.85982,1.46983,0.74303,0.32795,0.34979,0.21977,1.37455,2.68359,1.70858,0.000619394,0.000619394,0.0386194
4,11.6718,1.12273,1.61414,1.41009,0.62168,0.39782,0.52583,0.38106,0.97704,2.4224,1.40995,0.000828177,0.000828177,0.0178282
5,14.2685,1.15652,1.56806,1.43679,0.78574,0.6389,0.69796,0.54162,1.01744,1.40236,1.41799,0.000996097,0.000996097,0.000996097
6,16.8189,1.12196,1.43174,1.39346,0.67493,0.71029,0.71004,0.49631,1.07243,1.39072,1.46018,0.000993906,0.000993906,0.000993906
7,19.4194,1.07638,1.35928,1.37238,0.55523,0.63266,0.66292,0.47112,1.10669,1.82257,1.56971,0.000991232,0.000991232,0.000991232
8,22.0376,1.06123,1.29715,1.35966,0.71967,0.70154,0.7343,0.55985,1.02081,1.18586,1.462,0.000988079,0.000988079,0.000988079
9,24.6305,1.06842,1.29792,1.34209,0.61752,0.78027,0.71514,0.55037,1.00267,1.76395,1.42682,0.000984449,0.000984449,0.000984449
10,27.1527,0.99973,1.20668,1.30567,0.67984,0.77023,0.78558,0.57357,0.99992,1.31459,1.38005,0.000980345,0.000980345,0.000980345
11,29.7751,1.0112,1.22749,1.33886,0.58842,0.61245,0.66561,0.49575,1.14281,2.04061,1.50978,0.000975773,0.000975773,0.000975773
12,32.3443,0.99435,1.12331,1.31256,0.77925,0.802,0.8301,0.59708,0.98127,1.21971,1.3528,0.000970736,0.000970736,0.000970736
13,34.9467,1.01195,1.13945,1.31493,0.86804,0.78525,0.80688,0.62376,1.00246,1.47837,1.4242,0.000965239,0.000965239,0.000965239
14,37.4558,0.93605,1.06564,1.25252,0.62677,0.6997,0.69746,0.55522,0.93295,1.55691,1.38186,0.000959289,0.000959289,0.000959289
15,40.0463,0.95327,1.04521,1.28448,0.71559,0.70813,0.72687,0.57049,0.92829,1.35061,1.34549,0.000952889,0.000952889,0.000952889
16,42.591,0.9305,0.96651,1.2761,0.75425,0.79229,0.82317,0.662,0.89494,0.938,1.26675,0.000946048,0.000946048,0.000946048
17,45.1484,0.98631,1.03257,1.29287,0.72944,0.82051,0.846,0.64175,1.08488,0.96734,1.44039,0.000938772,0.000938772,0.000938772
18,47.6716,0.9516,0.96164,1.28157,0.84966,0.7732,0.83491,0.64891,0.92525,1.08611,1.31859,0.000931067,0.000931067,0.000931067
19,50.2358,0.93911,0.97554,1.28539,0.80432,0.82861,0.80073,0.64047,0.85363,1.14108,1.26991,0.000922942,0.000922942,0.000922942
20,52.8101,0.91711,0.92902,1.24644,0.87717,0.85112,0.87828,0.71379,0.79814,0.76635,1.19618,0.000914405,0.000914405,0.000914405
21,55.414,0.91608,0.94199,1.26285,0.89002,0.78945,0.86823,0.68067,0.80122,0.81785,1.20942,0.000905463,0.000905463,0.000905463
22,57.8908,0.93877,0.98509,1.25664,0.73427,0.82725,0.85547,0.67685,0.88538,1.04661,1.28907,0.000896127,0.000896127,0.000896127
23,60.5124,0.92409,0.89795,1.23304,0.89701,0.8128,0.86367,0.69339,0.87519,0.84797,1.25072,0.000886404,0.000886404,0.000886404
24,63.0138,0.82057,0.85157,1.19499,0.84669,0.86097,0.91973,0.72902,0.76809,0.69522,1.13495,0.000876305,0.000876305,0.000876305
25,65.5707,0.86567,0.83495,1.21463,0.84454,0.73383,0.87485,0.72142,0.77955,1.02162,1.16343,0.000865839,0.000865839,0.000865839
26,68.1026,0.85363,0.88437,1.21272,0.80004,0.86409,0.93633,0.72905,0.80402,0.89631,1.20919,0.000855018,0.000855018,0.000855018
27,70.73,0.82899,0.8378,1.20655,0.88208,0.8484,0.90289,0.76508,0.76524,0.63346,1.1796,0.000843851,0.000843851,0.000843851
28,73.2523,0.85242,0.84565,1.20288,0.91917,0.82729,0.88979,0.73319,0.81152,0.73584,1.21596,0.000832349,0.000832349,0.000832349
29,75.8016,0.84767,0.87643,1.19653,0.87372,0.84977,0.89268,0.75036,0.75304,0.65005,1.20756,0.000820525,0.000820525,0.000820525
30,78.3107,0.82152,0.76942,1.22071,0.91349,0.75678,0.86,0.74219,0.70923,0.67416,1.13403,0.000808389,0.000808389,0.000808389
31,80.8793,0.85728,0.87063,1.20402,0.86239,0.81004,0.85426,0.74007,0.70841,0.75979,1.12977,0.000795954,0.000795954,0.000795954
32,83.4461,0.86679,0.85063,1.21573,0.76918,0.75276,0.82944,0.68397,0.77445,0.93646,1.225,0.000783231,0.000783231,0.000783231
33,85.984,0.85988,0.82862,1.21926,0.83553,0.74411,0.83063,0.64731,0.87624,0.88185,1.30873,0.000770234,0.000770234,0.000770234
34,88.5155,0.83565,0.81582,1.22277,0.93466,0.82391,0.90389,0.71291,0.83109,0.73016,1.2617,0.000756976,0.000756976,0.000756976
35,91.0987,0.82221,0.76652,1.19587,0.7947,0.87686,0.90374,0.71299,0.8008,0.83994,1.19608,0.000743468,0.000743468,0.000743468
36,93.6562,0.85103,0.83819,1.2085,0.96254,0.77449,0.88992,0.75046,0.73776,0.72222,1.15456,0.000729725,0.000729725,0.000729725
37,96.206,0.81095,0.72006,1.1963,0.87028,0.83272,0.90256,0.74521,0.77272,0.64157,1.23544,0.000715761,0.000715761,0.000715761
38,98.6831,0.79612,0.74369,1.17713,0.91939,0.78208,0.86491,0.75064,0.72124,0.74848,1.15005,0.000701588,0.000701588,0.000701588
39,101.217,0.84071,0.80324,1.21226,0.87354,0.79302,0.87248,0.75785,0.70843,0.68013,1.15262,0.000687222,0.000687222,0.000687222
40,103.806,0.81504,0.71819,1.18644,0.82933,0.8316,0.89714,0.75491,0.72077,0.63953,1.1523,0.000672675,0.000672675,0.000672675
41,106.333,0.83059,0.7469,1.18258,0.88735,0.81029,0.89042,0.73815,0.72085,0.67195,1.16115,0.000657963,0.000657963,0.000657963
42,108.878,0.78221,0.70236,1.15929,0.92795,0.84759,0.89672,0.71781,0.82041,0.72129,1.24174,0.000643101,0.000643101,0.000643101
43,111.396,0.78652,0.6748,1.17314,0.83374,0.81868,0.87239,0.70348,0.78386,0.84016,1.21517,0.000628101,0.000628101,0.000628101
44,114.03,0.75347,0.68358,1.14458,0.91819,0.79886,0.87484,0.70828,0.78515,0.64124,1.20678,0.000612981,0.000612981,0.000612981
45,116.586,0.76091,0.66354,1.16501,0.92009,0.82988,0.88603,0.71179,0.7484,0.64391,1.17387,0.000597754,0.000597754,0.000597754
46,119.233,0.76839,0.69206,1.16492,0.88202,0.82928,0.86744,0.7515,0.72548,0.6344,1.14642,0.000582435,0.000582435,0.000582435
47,121.78,0.76325,0.69275,1.15713,0.87247,0.84529,0.89554,0.76377,0.70456,0.66656,1.12715,0.00056704,0.00056704,0.00056704
48,124.412,0.75768,0.67785,1.15479,0.85202,0.86076,0.90073,0.73847,0.78035,0.64134,1.21598,0.000551584,0.000551584,0.000551584
49,126.882,0.74538,0.66359,1.13901,0.8874,0.88628,0.91562,0.76646,0.73198,0.59072,1.16239,0.000536081,0.000536081,0.000536081
50,129.556,0.74202,0.63837,1.14171,0.90854,0.89731,0.93167,0.79741,0.70069,0.54081,1.1175,0.000520548,0.000520548,0.000520548
51,132.102,0.72124,0.61269,1.13591,0.89841,0.87695,0.91575,0.7874,0.70107,0.54208,1.1225,0.000505,0.000505,0.000505
52,134.848,0.73779,0.67632,1.17375,0.92819,0.85529,0.91394,0.78169,0.72501,0.54728,1.13482,0.000489452,0.000489452,0.000489452
53,137.426,0.72193,0.6286,1.13899,0.89393,0.87696,0.90183,0.79608,0.67836,0.57493,1.12626,0.000473919,0.000473919,0.000473919
54,140.015,0.72236,0.63977,1.13237,0.94612,0.83332,0.91044,0.7474,0.70852,0.55185,1.19661,0.000458416,0.000458416,0.000458416
55,142.58,0.72905,0.61409,1.14759,0.91748,0.79223,0.89324,0.73937,0.75395,0.67772,1.20678,0.00044296,0.00044296,0.00044296
56,145.148,0.70378,0.63517,1.12342,0.8602,0.89559,0.93691,0.76068,0.70847,0.64743,1.14769,0.000427565,0.000427565,0.000427565
57,147.6,0.70636,0.61147,1.12537,0.86265,0.9043,0.92998,0.77873,0.72398,0.53378,1.15405,0.000412246,0.000412246,0.000412246
58,150.136,0.68499,0.61079,1.10291,0.88304,0.87529,0.93341,0.76158,0.71463,0.53038,1.15836,0.000397019,0.000397019,0.000397019
59,152.681,0.69593,0.61678,1.11982,0.89934,0.92299,0.9491,0.78496,0.70844,0.5421,1.14655,0.000381899,0.000381899,0.000381899
60,155.199,0.71137,0.59846,1.12583,0.87997,0.87135,0.91219,0.77544,0.70418,0.54856,1.14619,0.000366899,0.000366899,0.000366899
61,157.731,0.64897,0.53675,1.08759,0.90474,0.85529,0.92385,0.78383,0.68626,0.53012,1.1227,0.000352037,0.000352037,0.000352037
62,160.202,0.68483,0.57699,1.1122,0.88174,0.86867,0.91552,0.78382,0.64318,0.50634,1.10365,0.000337325,0.000337325,0.000337325
63,162.747,0.67552,0.57655,1.10262,0.90437,0.85529,0.90596,0.78006,0.67779,0.54331,1.12812,0.000322778,0.000322778,0.000322778
64,165.288,0.65841,0.56007,1.09806,0.91032,0.84529,0.90602,0.77216,0.72253,0.59187,1.14794,0.000308412,0.000308412,0.000308412
