epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.54254,1.23544,3.18773,1.56852,0.00164,0.51529,0.03575,0.00802,2.95151,4.14341,3.47613,0.0002,0.0002,0.0802
2,6.23858,1.22424,2.26177,1.49271,0.00374,0.61059,0.08622,0.02189,2.50569,3.69569,2.99207,0.0004099,0.0004099,0.0594099
3,9.03189,1.15692,1.69313,1.41961,0.67635,0.30053,0.42678,0.21507,2.15307,2.97518,2.60478,0.000619394,0.000619394,0.0386194
4,11.6639,1.17268,1.55275,1.417,0.52632,0.45494,0.44188,0.23679,1.83873,2.30102,2.25464,0.000828177,0.000828177,0.0178282
5,14.2732,1.13217,1.51367,1.42652,0.73814,0.36802,0.5143,0.30167,1.63588,2.49514,2.08981,0.000996097,0.000996097,0.000996097
6,16.8284,1.04836,1.35776,1.35384,0.55415,0.5179,0.68045,0.50181,1.06397,1.86061,1.48996,0.000993906,0.000993906,0.000993906
7,19.409,1.07331,1.35902,1.35626,0.55959,0.80016,0.71585,0.53151,1.1062,1.47507,1.52369,0.000991232,0.000991232,0.000991232
8,21.9503,1.04158,1.24216,1.35673,0.77862,0.66434,0.71839,0.57559,0.96514,1.22849,1.398,0.000988079,0.000988079,0.000988079
9,24.5087,1.06351,1.25745,1.348,0.82116,0.54471,0.63022,0.51685,1.086,1.31634,1.40294,0.000984449,0.000984449,0.000984449
10,27.0336,0.9787,1.15221,1.30007,0.82033,0.66592,0.76868,0.61456,0.9582,1.1278,1.40706,0.000980345,0.000980345,0.000980345
11,29.6266,1.00242,1.20815,1.3326,0.84171,0.71711,0.81492,0.63432,1.00011,1.13953,1.38004,0.000975773,0.000975773,0.000975773
12,32.302,0.95618,1.10292,1.28239,0.87099,0.7251,0.82755,0.62554,0.94492,0.98787,1.36851,0.000970736,0.000970736,0.000970736
13,34.8303,0.97502,1.1117,1.29215,0.84671,0.80029,0.85882,0.68659,0.89461,1.07122,1.33277,0.000965239,0.000965239,0.000965239
14,37.4464,0.92096,1.06037,1.24377,0.77236,0.81889,0.81131,0.59345,1.00625,1.25182,1.43367,0.000959289,0.000959289,0.000959289
15,39.9279,0.98685,1.0946,1.30343,0.77625,0.6508,0.75162,0.56211,0.99135,1.364,1.34961,0.000952889,0.000952889,0.000952889
16,42.5298,0.9289,0.98813,1.27884,0.87004,0.77277,0.87042,0.65206,0.89362,1.00919,1.29999,0.000946048,0.000946048,0.000946048
17,45.0215,0.94073,1.01799,1.25864,0.88714,0.80408,0.8779,0.66035,0.95196,0.99558,1.33898,0.000938772,0.000938772,0.000938772
18,47.6265,0.92018,0.96043,1.25005,0.89926,0.77757,0.89181,0.6746,0.89371,0.91655,1.26785,0.000931067,0.000931067,0.000931067
19,50.1483,0.91303,0.98434,1.26941,0.94314,0.74377,0.90079,0.70544,0.8496,0.90562,1.25652,0.000922942,0.000922942,0.000922942
20,52.7867,0.88408,0.93725,1.22969,0.87243,0.81029,0.8649,0.69964,0.83784,0.78529,1.26066,0.000914405,0.000914405,0.000914405
21,55.3121,0.90671,0.91439,1.25076,0.84629,0.8461,0.89034,0.70747,0.83464,0.82251,1.24513,0.000905463,0.000905463,0.000905463
22,57.8931,0.94425,0.96763,1.25891,0.89106,0.8078,0.90403,0.7035,0.87215,0.87853,1.28224,0.000896127,0.000896127,0.000896127
23,60.4656,0.90793,0.88776,1.22149,0.89822,0.85956,0.88863,0.68079,0.85461,0.90083,1.23681,0.000886404,0.000886404,0.000886404
24,63.0592,0.83037,0.83673,1.19764,0.82625,0.8731,0.88349,0.71036,0.82289,0.82129,1.21742,0.000876305,0.000876305,0.000876305
25,65.607,0.87586,0.84845,1.22848,0.79188,0.83029,0.8349,0.69324,0.89205,0.98108,1.2487,0.000865839,0.000865839,0.000865839
26,68.2587,0.86573,0.87419,1.19827,0.84209,0.83277,0.83492,0.68979,0.80206,0.91695,1.19918,0.000855018,0.000855018,0.000855018
27,70.8518,0.86557,0.84026,1.20008,0.91973,0.87114,0.92662,0.73554,0.82708,0.85391,1.19333,0.000843851,0.000843851,0.000843851
28,73.5626,0.83508,0.82845,1.18629,0.83857,0.88572,0.89085,0.70953,0.86485,0.75509,1.2944,0.000832349,0.000832349,0.000832349
29,76.0613,0.84362,0.86333,1.18401,0.94439,0.85611,0.90002,0.73682,0.79977,0.65139,1.21592,0.000820525,0.000820525,0.000820525
30,78.6851,0.79189,0.76385,1.19142,0.89136,0.82529,0.88873,0.73803,0.78634,0.6767,1.21072,0.000808389,0.000808389,0.000808389
31,81.2349,0.85172,0.82209,1.20399,0.89867,0.86772,0.88723,0.71499,0.78353,0.71553,1.19306,0.000795954,0.000795954,0.000795954
32,83.9075,0.85321,0.82248,1.21103,0.83025,0.87824,0.89884,0.7123,0.84267,0.70043,1.24302,0.000783231,0.000783231,0.000783231
33,86.4537,0.82252,0.81287,1.19929,0.83826,0.76596,0.86155,0.73619,0.82743,0.81744,1.2374,0.000770234,0.000770234,0.000770234
